Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,111,148,1,17.0294,1,1,1
C01,accepted,221,168,36,320,186,1,19.7231,1,1,1
C02,accepted,0,188,165,294,63,1,13,1,1,1
C03,accepted,174,149,249,175,253,1,21.5407,1,1,1
C04,accepted,249,67,158,93,92,1,16.4012,1,1,1
C05,rejected,135,198,53,212,71,1,16.2788,1,1,1
C06,accepted,156,173,255,66,240,1,15.2315,1,1,1
C07,accepted,234,104,209,326,233,1,19.105,1,1,1
C08,accepted,249,237,50,148,300,1,13.8924,1,1,1
C09,rejected,38,170,225,296,123,1,19.2354,1,1,1
C10,accepted,244,44,82,302,296,1,22.0227,1,1,1
C11,rejected,221,168,36,179,309,1,10.4403,1,1,1
C12,accepted,0,188,165,293,106,1,13.6015,1,1,1
C13,accepted,174,149,249,248,157,1,16.9706,1,1,1
