Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,,,Video 1, C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14,
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,,Video2-3,C04,C07,,,,C10,C05,C06,C13,C01,C00,C09,C12,C03,C08,C11
0,0.2931495,0.2716507,0.1274506,0.1661417,0.1518824,0.1091306,0.1041211,0.01223569,0.04982058,-0.01974111,-0.007294908,-0.02765935,-0.02990587,-0.02241614,-0.01809557,,,,,,,,,,,,,,,,,,,
0.049961,0.2984323,0.2567413,0.1250919,0.1649545,0.1603747,0.1252278,0.09122237,0.02874059,0.0506516,-0.02496361,-0.007290572,-0.03380142,-0.02522521,-0.02711704,-0.01927198,,,,,,,,,,,,,,,,,,,
0.099922,0.2993813,0.235259,0.1212544,0.1574952,0.1325216,0.1105141,0.08739953,0.03617034,0.04250841,-0.0119633,-0.006145232,-0.03508921,-0.03566847,-0.02666727,-0.01720203,,,,,,,,,,,,,,,,,,,
0.149883,0.279864,0.2365003,0.1231345,0.1513396,0.1165773,0.1126846,0.1062316,0.04672484,0.04819741,-0.01828001,-0.007224535,-0.03464277,-0.0417054,-0.0249606,-0.02135823,,,,,,,,,,,,,,,,,,,
0.199844,0.2947299,0.241876,0.1341864,0.15476,0.1180783,0.1224475,0.1171825,0.05922192,0.0454115,-0.01096294,-0.00617691,-0.03111195,-0.03747318,-0.02353573,-0.0220812,,,,,,,,,,,,,,,,,,,
0.249805,0.3129672,0.2632868,0.1521307,0.1592276,0.1250129,0.141556,0.1273859,0.07582988,0.05005118,0.005281218,-0.004889558,-0.03991554,-0.03492445,-0.01741134,-0.01422667,,,,,,,,,,,,,,,,,,,
0.299766,0.3155938,0.2672851,0.1597345,0.1687522,0.135922,0.144851,0.145632,0.08598283,0.05594911,0.01531773,-0.007988048,-0.03987272,-0.03723148,-0.02719022,-0.02098809,,,,,,,,,,,,,,,,,,,
0.349727,0.3098852,0.2575088,0.15893,0.1636742,0.1166678,0.1441767,0.1333614,0.09194957,0.03755931,0.0153831,-0.007666975,-0.04197135,-0.03523724,-0.01958833,-0.01708762,,,,,,,,,,,,,,,,,,,
0.399688,0.2795129,0.2581396,0.1399108,0.1582702,0.1140576,0.1317681,0.09966558,0.09018491,0.04278765,0.008355541,-0.01241302,-0.04481744,-0.03602878,-0.01681988,-0.0209174,,,,,,,,,,,,,,,,,,,
0.449649,0.2702644,0.245739,0.1466718,0.1457532,0.1037502,0.1377898,0.10719,0.09122993,0.03555465,0.01593129,-0.01149563,-0.04294842,-0.04467917,-0.01730513,-0.01906622,,,,,,,,,,,,,,,,,,,
0.49961,0.256929,0.2376894,0.157125,0.1538413,0.1042136,0.1293816,0.1019946,0.09032379,0.0349065,0.01828011,-0.01082333,-0.04825564,-0.03427383,-0.02174594,-0.01964127,,,,,,,,,,,,,,,,,,,
0.549571,0.2513324,0.22566,0.1585543,0.1508563,0.08740718,0.1114744,0.1104304,0.08912938,0.03195551,0.02189262,-0.009847438,-0.04157763,-0.04079372,-0.01439553,-0.01957952,,,,,,,,,,,,,,,,,,,
0.599532,0.2431653,0.2141581,0.1740034,0.1628988,0.099273,0.1447023,0.1020034,0.09000734,0.04041001,0.03576076,-0.01336474,-0.04658794,-0.03508445,-0.01675471,-0.02099063,,,,,,,,,,,,,,,,,,,
