Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,89,149,1,20.5913,1,1,1
C01,accepted,221,168,36,201,205,1,18.6815,1,1,1
C02,accepted,0,188,165,223,302,1,18.4391,1,1,1
C03,accepted,174,149,249,215,36,1,19.9249,1,1,1
C04,accepted,249,67,158,210,152,1,13.6015,1,1,1
C05,rejected,135,198,53,192,228,1,12.6491,1,1,1
C06,accepted,156,173,255,119,102,1,18.2483,1,1,1
C07,accepted,234,104,209,105,168,1,9.21954,1,1,1
C08,accepted,249,237,50,179,116,1,18.4391,1,1,1
C09,rejected,38,170,225,181,162,1,9.21954,1,1,1
C10,rejected,244,44,82,142,249,1,12.1655,1,1,1
C11,accepted,221,168,36,154,73,1,19.0263,1,1,1
C12,rejected,0,188,165,220,157,1,13.8924,1,1,1
C13,accepted,174,149,249,164,160,1,14.2127,1,1,1
C14,accepted,249,67,158,278,155,1,18.3848,1,1,1
C15,accepted,135,198,53,72,159,1,14.1421,1,1,1
