scorer,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000,DLC_dlcrnetms5_Interbrain free interactionJan30shuffle1_200000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,nose,nose,nose,head,head,head,back1,back1,back1,back2,back2,back2,back3,back3,back3,back4,back4,back4,basetail,basetail,basetail,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,toptail,toptail,toptail,nose,nose,nose,head,head,head,back1,back1,back1,back2,back2,back2,back3,back3,back3,back4,back4,back4,basetail,basetail,basetail,tail1,tail1,tail1,tail2,tail2,tail2,tail3,tail3,tail3,toptail,toptail,toptail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,456.031,140.302,1.0,424.803,109.92,1.0,411.027,95.702,1.0,386.173,81.331,1.0,361.017,75.327,1.0,335.395,79.921,1.0,319.555,85.888,1.0,291.96,104.783,1.0,282.333,142.495,1.0,282.508,175.916,1.0,290.49,209.455,0.9750000238418579,127.864,45.608,1.0,134.19,92.111,1.0,142.266,106.846,1.0,150.142,123.588,1.0,163.258,137.642,1.0,172.887,156.349,1.0,180.617,174.857,1.0,184.491,203.978,1.0,180.771,239.752,1.0,165.458,274.645,1.0,124.634,298.068,1.0
1,452.825,133.242,1.0,425.194,109.439,1.0,409.881,95.169,1.0,385.975,81.284,1.0,360.977,75.233,1.0,335.521,79.854,1.0,319.642,85.723,1.0,291.931,104.678,1.0,282.265,142.522,1.0,282.302,175.599,1.0,290.365,209.185,0.9990000128746033,127.931,45.988,1.0,134.068,91.865,1.0,142.118,106.882,1.0,150.111,123.423,1.0,163.196,137.552,1.0,172.855,156.359,1.0,180.592,174.852,1.0,184.481,203.964,1.0,180.723,239.754,1.0,163.062,272.164,1.0,124.465,298.179,1.0
2,452.937,132.505,1.0,425.549,107.745,1.0,410.377,93.992,1.0,386.823,81.614,1.0,361.229,75.519,1.0,335.613,79.81,1.0,319.651,85.739,1.0,291.904,104.679,1.0,282.342,142.514,1.0,282.206,175.633,1.0,290.326,209.261,0.9990000128746033,127.783,46.372,1.0,134.179,93.06,1.0,142.44,108.852,1.0,150.262,124.651,1.0,163.554,138.154,1.0,173.137,156.562,1.0,180.607,174.746,1.0,184.486,203.964,1.0,180.719,239.73,1.0,163.027,272.09,1.0,124.459,298.169,1.0
3,452.513,132.98,1.0,426.244,106.692,1.0,411.317,92.888,1.0,386.956,81.828,1.0,361.461,75.867,1.0,335.576,79.923,1.0,319.687,85.826,1.0,291.915,104.689,1.0,282.338,142.482,1.0,282.154,175.678,1.0,290.316,209.278,0.9990000128746033,128.001,46.34,1.0,134.364,92.934,1.0,142.417,108.947,1.0,150.186,124.521,1.0,163.537,138.151,1.0,173.151,156.58,1.0,180.605,174.749,1.0,184.485,203.968,1.0,180.724,239.728,1.0,163.016,272.074,1.0,124.457,298.168,1.0
4,453.482,124.127,1.0,426.603,105.976,1.0,410.471,92.494,1.0,386.843,81.966,1.0,361.312,75.891,1.0,335.558,79.898,1.0,319.554,85.838,1.0,291.757,104.383,1.0,282.055,142.209,1.0,281.933,175.402,1.0,290.346,209.219,0.9990000128746033,128.043,46.4,1.0,134.16,92.986,1.0,142.386,108.804,1.0,150.261,124.574,1.0,163.6,138.099,1.0,173.14,156.523,1.0,180.683,174.705,1.0,184.469,203.981,1.0,180.484,239.885,1.0,162.907,272.243,1.0,124.464,298.183,1.0
5,452.955,124.559,1.0,425.755,103.456,1.0,410.471,91.739,1.0,386.357,81.729,1.0,357.155,76.834,1.0,335.413,79.913,1.0,319.321,85.927,1.0,291.641,104.826,1.0,281.808,142.349,1.0,281.975,175.498,1.0,290.266,209.264,0.9990000128746033,128.189,46.244,1.0,133.807,92.68,1.0,141.856,108.382,1.0,150.224,124.509,1.0,163.584,137.98,1.0,173.007,156.375,1.0,180.807,174.556,1.0,184.467,204.082,1.0,180.507,239.678,1.0,162.94,272.275,1.0,124.438,298.166,1.0
6,452.799,124.559,1.0,426.068,102.676,1.0,410.198,91.591,1.0,386.133,81.83,1.0,357.186,76.868,1.0,335.691,79.99,1.0,319.751,86.303,1.0,292.08,104.68,1.0,280.81,142.037,1.0,281.73,174.936,1.0,290.509,209.358,1.0,127.224,45.263,1.0,133.902,92.407,1.0,142.138,108.708,1.0,150.616,124.652,1.0,163.518,138.163,1.0,173.131,156.52,1.0,180.53,174.111,1.0,184.169,203.809,1.0,180.049,239.124,1.0,162.576,272.221,1.0,124.51,298.082,1.0
