Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,51,137,1,17.4642,1,1,1
C01,accepted,221,168,36,78,171,1,14.0357,1,1,1
C02,accepted,0,188,165,147,179,1,18.7883,1,1,1
C03,accepted,174,149,249,261,115,1,11.1803,1,1,1
C04,accepted,249,67,158,86,192,1,12.1655,1,1,1
C05,accepted,135,198,53,242,173,1,8.24621,1,1,1
C06,accepted,156,173,255,230,116,1,9.21954,1,1,1
C07,accepted,234,104,209,258,181,1,10.4403,1,1,1
C08,rejected,249,237,50,264,205,1,10.2956,1,1,1
C09,accepted,38,170,225,178,283,1,8.544,1,1,1
C10,accepted,244,44,82,85,37,1,8.544,1,1,1
C11,accepted,221,168,36,232,142,1,9.43398,1,1,1
C12,rejected,0,188,165,122,193,1,6.7082,1,1,1
C13,accepted,174,149,249,85,128,1,11.4018,1,1,1
C14,accepted,249,67,158,213,115,1,9.48683,1,1,1
C15,accepted,135,198,53,83,224,1,11.3137,1,1,1
C16,accepted,156,173,255,281,259,1,10.198,1,1,1
C17,rejected,234,104,209,239,52,1,10.8167,1,1,1
C18,accepted,249,237,50,153,61,1,13.9284,1,1,1
C19,accepted,38,170,225,250,240,1,11.6619,1,1,1
C20,accepted,244,44,82,142,140,1,15.5242,1,1,1
C21,accepted,221,168,36,95,97,1,12.1655,1,1,1
C22,accepted,0,188,165,219,167,1,9.43398,1,1,1
C23,accepted,174,149,249,228,236,1,12.083,1,1,1
C24,accepted,249,67,158,234,97,1,10.7703,1,1,1
C25,accepted,135,198,53,212,90,1,11.4018,1,1,1
C26,accepted,156,173,255,236,79,1,13.3417,1,1,1
C27,accepted,234,104,209,203,215,1,12.53,1,1,1
C28,accepted,249,237,50,37,146,1,12.3693,1,1,1
C29,accepted,38,170,225,146,298,1,11.6619,1,1,1
C30,accepted,244,44,82,208,200,1,11.1803,1,1,1
C31,accepted,221,168,36,208,100,1,12.2066,1,1,1
C32,rejected,0,188,165,173,216,1,14.0357,1,1,1
C33,accepted,174,149,249,199,116,1,11.1803,1,1,1
C34,accepted,249,67,158,165,261,1,12.1655,1,1,1
C35,accepted,135,198,53,142,54,1,16.1245,1,1,1
C36,rejected,156,173,255,119,77,1,10,1,1,1
C37,accepted,234,104,209,164,224,1,11.4018,1,1,1
C38,accepted,249,237,50,162,97,1,8.60233,1,1,1
C39,accepted,38,170,225,110,177,1,11.1803,1,1,1
C40,accepted,244,44,82,273,99,1,13.0384,1,1,1
C41,accepted,221,168,36,280,82,1,11.4018,1,1,1
C42,accepted,0,188,165,277,218,1,10.4403,1,1,1
C43,accepted,174,149,249,224,214,1,12.083,1,1,1
C44,accepted,249,67,158,168,249,1,12.6491,1,1,1
C45,accepted,135,198,53,295,127,1,10,1,1,1
C46,accepted,156,173,255,115,64,1,10.4403,1,1,1
C47,accepted,234,104,209,151,46,1,11.4018,1,1,1
C48,accepted,249,237,50,237,208,1,15.6205,1,1,1
C49,accepted,38,170,225,197,276,1,13.1529,1,1,1
C50,accepted,244,44,82,70,139,1,10.7703,1,1,1
C51,accepted,221,168,36,270,166,1,17.72,1,1,1
C52,accepted,0,188,165,196,291,1,9.43398,1,1,1
C53,accepted,174,149,249,20,179,1,11.4018,1,1,1
C54,accepted,249,67,158,224,54,1,13.8924,1,1,1
C55,accepted,156,173,255,271,228,1,8.544,1,1,1
C56,accepted,135,198,53,167,123,1,9.43398,1,1,1
