Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,131,259,1,16.2788,1,1,1
C01,accepted,221,168,36,148,184,1,15.2971,1,1,1
C02,accepted,0,188,165,61,220,1,17.4642,1,1,1
C03,rejected,174,149,249,51,122,1,15.0333,1,1,1
C04,accepted,249,67,158,176,204,1,13.0384,1,1,1
C05,accepted,135,198,53,203,146,1,15.8114,1,1,1
C06,rejected,156,173,255,232,161,1,14.2127,1,1,1
C07,accepted,234,104,209,130,206,1,18.868,1,1,1
C08,accepted,249,237,50,73,97,1,13.4164,1,1,1
C09,accepted,38,170,225,87,121,1,16.2788,1,1,1
C10,accepted,244,44,82,179,130,1,18.1108,1,1,1
C11,accepted,221,168,36,252,188,1,12.8062,1,1,1
C12,rejected,0,188,165,158,121,1,19.2354,1,1,1
C13,accepted,174,149,249,129,104,1,15.8114,1,1,1
C14,accepted,249,67,158,282,119,1,15.8114,1,1,1
C15,accepted,135,198,53,112,175,1,15.2971,1,1,1
C16,accepted,156,173,255,209,240,1,11.1803,1,1,1
C17,accepted,234,104,209,216,138,1,10,1,1,1
C18,accepted,249,237,50,177,87,1,15.1327,1,1,1
C19,accepted,38,170,225,94,164,1,16.5529,1,1,1
C20,accepted,244,44,82,281,179,1,15.6525,1,1,1
C21,accepted,221,168,36,131,164,1,18.2483,1,1,1
C22,accepted,0,188,165,114,222,1,17,1,1,1
C23,accepted,174,149,249,217,180,1,15.5242,1,1,1
C24,accepted,249,67,158,181,58,1,16.5529,1,1,1
C25,accepted,135,198,53,83,294,1,13.6015,1,1,1
C26,accepted,156,173,255,111,244,1,19.7231,1,1,1
C27,accepted,234,104,209,148,211,1,16.2788,1,1,1
C28,accepted,249,237,50,296,191,1,19.105,1,1,1
C29,accepted,38,170,225,150,244,1,17.2627,1,1,1
C30,accepted,244,44,82,138,232,1,12.0416,1,1,1
C31,accepted,221,168,36,192,247,1,12.6491,1,1,1
C32,accepted,0,188,165,149,57,1,11.7047,1,1,1
C33,accepted,174,149,249,196,166,1,19.9249,1,1,1
C34,accepted,249,67,158,224,240,1,16.5529,1,1,1
C35,accepted,135,198,53,213,219,1,8.94427,1,1,1
C36,accepted,156,173,255,254,153,1,12.1655,1,1,1
C37,accepted,234,104,209,80,235,1,15.2971,1,1,1
