Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,109,96,1,18.2483,1,1,1
C01,accepted,221,168,36,121,175,1,10.0499,1,1,1
C02,accepted,0,188,165,190,199,1,8.60233,1,1,1
C03,rejected,174,149,249,271,157,1,9.84886,1,1,1
C04,accepted,249,67,158,159,123,1,12.3693,1,1,1
C05,accepted,135,198,53,155,78,1,14.1421,1,1,1
C06,accepted,156,173,255,180,134,1,9.05539,1,1,1
C07,accepted,234,104,209,194,125,1,8.24621,1,1,1
C08,accepted,249,237,50,157,184,1,11.1803,1,1,1
C09,accepted,38,170,225,140,112,1,14.1421,1,1,1
C10,accepted,244,44,82,275,265,1,11.1803,1,1,1
C11,accepted,221,168,36,161,53,1,13.1529,1,1,1
C12,accepted,0,188,165,193,229,1,12.0416,1,1,1
C13,accepted,174,149,249,186,332,1,15,1,1,1
C14,accepted,249,67,158,97,160,1,12.1655,1,1,1
C15,accepted,135,198,53,40,219,1,15.1327,1,1,1
C16,accepted,156,173,255,130,168,1,15.1327,1,1,1
C17,accepted,234,104,209,130,235,1,13.4164,1,1,1
C18,rejected,249,237,50,168,272,1,9.84886,1,1,1
C19,rejected,38,170,225,237,202,1,10.0499,1,1,1
C20,accepted,244,44,82,193,166,1,8.24621,1,1,1
C21,accepted,221,168,36,146,299,1,12.6491,1,1,1
C22,accepted,0,188,165,112,189,1,11.6619,1,1,1
C23,accepted,174,149,249,77,113,1,17.1172,1,1,1
C24,rejected,249,67,158,217,141,1,20.6155,1,1,1
C25,accepted,135,198,53,114,149,1,15.0333,1,1,1
C26,accepted,156,173,255,99,201,1,17.72,1,1,1
C27,rejected,234,104,209,254,165,1,8.60233,1,1,1
C28,accepted,249,237,50,246,97,1,12.083,1,1,1
C29,accepted,38,170,225,158,109,1,13.0384,1,1,1
C30,accepted,244,44,82,283,109,1,10.4403,1,1,1
C31,rejected,221,168,36,308,187,1,8.06226,1,1,1
C32,accepted,0,188,165,92,227,1,17.2627,1,1,1
C33,accepted,174,149,249,129,197,1,13,1,1,1
C34,accepted,249,67,158,264,183,1,15.0333,1,1,1
C35,rejected,135,198,53,71,277,1,18.6011,1,1,1
C36,accepted,156,173,255,176,158,1,15,1,1,1
C37,accepted,234,104,209,228,170,1,11.4018,1,1,1
C38,accepted,249,237,50,254,111,1,15.2971,1,1,1
C39,accepted,38,170,225,55,170,1,13.9284,1,1,1
C40,accepted,244,44,82,52,201,1,16.1245,1,1,1
C41,accepted,221,168,36,64,184,1,10.198,1,1,1
C42,accepted,0,188,165,186,221,1,9.43398,1,1,1
C43,accepted,174,149,249,67,214,1,17.1172,1,1,1
