Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,95,250,1,12.0416,1,1,1
C01,accepted,221,168,36,255,244,1,14.1421,1,1,1
C02,accepted,0,188,165,205,305,1,12.3693,1,1,1
C03,accepted,174,149,249,250,85,1,13,1,1,1
C04,accepted,249,67,158,166,248,1,8.24621,1,1,1
C05,accepted,135,198,53,160,197,1,12.6491,1,1,1
C06,accepted,156,173,255,159,115,1,9.84886,1,1,1
C07,accepted,234,104,209,202,115,1,10.4403,1,1,1
C08,accepted,249,237,50,245,239,1,12,1,1,1
C09,accepted,38,170,225,236,257,1,16.2788,1,1,1
C10,accepted,244,44,82,143,98,1,14.0357,1,1,1
C11,rejected,221,168,36,127,263,1,14.2127,1,1,1
C12,rejected,0,188,165,163,271,1,12.8062,1,1,1
C13,accepted,174,149,249,316,188,1,12.6491,1,1,1
C14,accepted,249,67,158,224,110,1,14.8661,1,1,1
C15,accepted,135,198,53,215,99,1,8.06226,1,1,1
C16,accepted,156,173,255,318,89,1,16.1245,1,1,1
C17,accepted,234,104,209,149,124,1,8.94427,1,1,1
