Time (s), Cell Name, Value
0.099922, C00, 0.02184412
1.49883, C00, 0.0234632
1.948479, C00, 0.02228394
2.148323, C00, 0.03826065
2.198284, C00, 0.0310972
2.49805, C00, 0.02125171
2.548011, C00, 0.0351222
2.697894, C00, 0.03197877
2.797816, C00, 0.03110623
2.847777, C00, 0.02212426
2.897738, C00, 0.03713077
3.49727, C00, 0.0261569
4.596412, C00, 0.02785169
4.696334, C00, 0.02258874
5.195944, C00, 0.02342913
5.245905, C00, 0.03727521
5.345827, C00, 0.02536139
5.395788, C00, 0.03379868
5.845437, C00, 0.02288558
5.895398, C00, 0.02945648
5.945359, C00, 0.03153087
5.99532, C00, 0.02774498
6.195164, C00, 0.04073414
6.245125, C00, 0.03823286
6.295086, C00, 0.0456937
6.544891, C00, 0.0217742
6.894618, C00, 0.02051416
7.49415, C00, 0.0365845
9.342707000000001, C00, 0.03272285
9.392668, C00, 0.02064523
12.49025, C00, 0.02187781
13.139743, C00, 0.02347745
13.839197, C00, 0.03125212
14.089002, C00, 0.02179026
14.188924, C00, 0.02105924
14.48869, C00, 0.05398892
14.538651, C00, 0.03786035
14.588612, C00, 0.02266319
14.638573, C00, 0.03910284
14.688534, C00, 0.0307796
15.338027, C00, 0.02255407
15.687754, C00, 0.02471584
16.037481, C00, 0.02806413
16.087442, C00, 0.02748975
16.137403, C00, 0.0299577
16.387208, C00, 0.02882582
16.786896, C00, 0.03811044
17.036701, C00, 0.02953106
17.386428, C00, 0.04215376
17.636233, C00, 0.02391599
20.533971, C00, 0.02094221
443.214298, C00, 0.01615331
449.30954, C00, 0.01860841
451.957473, C00, 0.0155993
452.906732, C00, 0.0170204
457.80291, C00, 0.01426806
458.852091, C00, 0.0140817
459.001974, C00, 0.01866091
460.101116, C00, 0.01483402
460.201038, C00, 0.01431978
461.000414, C00, 0.02439642
461.30018, C00, 0.01576205
463.948113, C00, 0.01418457
464.697528, C00, 0.01463602
465.29706, C00, 0.01391504
465.746709, C00, 0.01388946
466.396202, C00, 0.01383098
466.496124, C00, 0.01502541
468.194798, C00, 0.01462011
470.542965, C00, 0.01384335
470.642887, C00, 0.01423188
473.490664, C00, 0.01431808
475.938753, C00, 0.01468153
480.435243, C00, 0.02075442
482.133917, C00, 0.01554885
482.233839, C00, 0.01736121
482.683488, C00, 0.01709302
489.028535, C00, 0.01765125
494.324401, C00, 0.01713998
494.574206, C00, 0.01410719
495.473504, C00, 0.0169368
495.573426, C00, 0.01491985
496.922373, C00, 0.01510097
506.315041, C00, 0.01390909
508.213559, C00, 0.01492722
509.962194, C00, 0.02159384
510.062116, C00, 0.01566212
510.461804, C00, 0.01525437
511.211219, C00, 0.01417587
511.960634, C00, 0.01558141
512.010595, C00, 0.01835248
512.76001, C00, 0.01420198
513.75923, C00, 0.0192193
514.158918, C00, 0.01459491
514.808411, C00, 0.0140992
514.908333, C00, 0.03022771
515.3080210000001, C00, 0.01541051
515.707709, C00, 0.01428863
516.157358, C00, 0.01484323
517.5562660000001, C00, 0.01736009
517.606227, C00, 0.01559687
518.2057589999999, C00, 0.01820437
518.405603, C00, 0.01671392
518.605447, C00, 0.01668625
518.905213, C00, 0.02792777
519.204979, C00, 0.01504375
519.25494, C00, 0.02033131
519.354862, C00, 0.02430382
519.404823, C00, 0.02350794
519.554706, C00, 0.02271043
519.6046669999999, C00, 0.02928846
519.854472, C00, 0.02325903
519.954394, C00, 0.01739419
520.004355, C00, 0.01947978
520.204199, C00, 0.02436002
520.3540819999999, C00, 0.02099073
520.553926, C00, 0.02182664
520.703809, C00, 0.01437637
520.853692, C00, 0.02815352
521.1034969999999, C00, 0.01732759
521.153458, C00, 0.01958916
521.403263, C00, 0.01846278
521.453224, C00, 0.02780573
521.503185, C00, 0.02199465
521.902873, C00, 0.01415151
522.052756, C00, 0.0181637
522.452444, C00, 0.01510078
522.552366, C00, 0.01668523
522.902093, C00, 0.02602504
522.952054, C00, 0.02274454
523.002015, C00, 0.02272578
523.051976, C00, 0.02733071
523.101937, C00, 0.01863244
523.151898, C00, 0.02976015
523.201859, C00, 0.02153537
523.25182, C00, 0.02408636
523.401703, C00, 0.01506728
523.601547, C00, 0.02846304
523.801391, C00, 0.02657667
523.901313, C00, 0.02022323
523.951274, C00, 0.02188164
524.151118, C00, 0.01687112
524.201079, C00, 0.02336207
524.450884, C00, 0.02010733
524.500845, C00, 0.01923773
524.600767, C00, 0.01760748
524.650728, C00, 0.05167216
524.700689, C00, 0.01413026
524.75065, C00, 0.0270882
524.800611, C00, 0.02388334
524.8505720000001, C00, 0.033263
525.000455, C00, 0.02163351
525.150338, C00, 0.01581529
525.350182, C00, 0.02289191
525.400143, C00, 0.02363801
525.5999870000001, C00, 0.02439761
525.849792, C00, 0.02167946
526.049636, C00, 0.02852535
526.2494799999999, C00, 0.0259296
526.449324, C00, 0.01972389
526.599207, C00, 0.02198419
526.74909, C00, 0.01824585
526.799051, C00, 0.03053088
526.948934, C00, 0.02912383
526.9988949999999, C00, 0.03668198
527.148778, C00, 0.02141821
527.2487, C00, 0.01523277
527.298661, C00, 0.01443753
527.348622, C00, 0.0168443
527.498505, C00, 0.02370209
527.548466, C00, 0.04289716
527.648388, C00, 0.01854554
527.698349, C00, 0.03978065
527.798271, C00, 0.0329034
527.8482320000001, C00, 0.01712769
527.898193, C00, 0.01756915
527.948154, C00, 0.01832166
528.048076, C00, 0.02712351
528.147998, C00, 0.01892251
528.197959, C00, 0.0178839
528.297881, C00, 0.02389136
528.347842, C00, 0.03008512
528.397803, C00, 0.04673433
528.447764, C00, 0.03645197
528.5976470000001, C00, 0.02610776
528.647608, C00, 0.0305641
528.74753, C00, 0.01483974
528.847452, C00, 0.0165545
528.947374, C00, 0.0212855
528.997335, C00, 0.02098066
529.147218, C00, 0.01977077
529.297101, C00, 0.0295516
529.3470620000001, C00, 0.02391374
529.546906, C00, 0.01978278
529.646828, C00, 0.01788658
529.74675, C00, 0.0256094
529.896633, C00, 0.02323779
530.046516, C00, 0.04637355
530.096477, C00, 0.01847577
530.146438, C00, 0.01792651
530.396243, C00, 0.01506191
530.446204, C00, 0.02682075
530.496165, C00, 0.0218685
530.646048, C00, 0.01452252
530.696009, C00, 0.03109244
530.7459700000001, C00, 0.01602238
530.845892, C00, 0.03337759
530.995775, C00, 0.01824367
531.045736, C00, 0.01647764
531.095697, C00, 0.03010699
531.145658, C00, 0.05027872
531.295541, C00, 0.02633521
531.545346, C00, 0.01853499
531.595307, C00, 0.0243347
531.645268, C00, 0.03116569
531.695229, C00, 0.04219711
531.895073, C00, 0.02054909
532.2448000000001, C00, 0.02150163
532.394683, C00, 0.01685485
532.594527, C00, 0.02303264
532.694449, C00, 0.01617843
532.844332, C00, 0.01759417
532.9942150000001, C00, 0.02229731
533.044176, C00, 0.01661158
533.094137, C00, 0.01484208
533.194059, C00, 0.02509521
533.293981, C00, 0.02563176
533.343942, C00, 0.01472363
533.443864, C00, 0.01544082
533.493825, C00, 0.01476043
533.543786, C00, 0.01819617
533.593747, C00, 0.03429034
533.6437079999999, C00, 0.01517725
533.693669, C00, 0.01681799
533.993435, C00, 0.01467681
534.193279, C00, 0.02761957
534.293201, C00, 0.0148589
534.443084, C00, 0.01439849
534.543006, C00, 0.02034754
534.642928, C00, 0.01445308
534.792811, C00, 0.01540878
534.892733, C00, 0.02013221
535.042616, C00, 0.02216217
535.092577, C00, 0.03251135
535.1425379999999, C00, 0.0238412
535.192499, C00, 0.02643421
535.292421, C00, 0.03478745
535.342382, C00, 0.0291605
535.542226, C00, 0.01473311
535.792031, C00, 0.0177142
535.8919529999999, C00, 0.02268586
535.941914, C00, 0.01680997
535.9918750000001, C00, 0.01388845
536.041836, C00, 0.01657951
536.691329, C00, 0.01386786
537.091017, C00, 0.0247363
537.190939, C00, 0.02469292
537.2409, C00, 0.01795107
537.490705, C00, 0.02209365
537.590627, C00, 0.02673599
537.840432, C00, 0.01858069
538.290081, C00, 0.01702596
538.340042, C00, 0.02428313
538.390003, C00, 0.0324841
538.439964, C00, 0.01697284
538.489925, C00, 0.02311164
538.7896909999999, C00, 0.01506296
539.23934, C00, 0.02159941
539.6390280000001, C00, 0.02404059
539.73895, C00, 0.01434965
540.138638, C00, 0.01541288
540.2885209999999, C00, 0.01732321
540.338482, C00, 0.01446016
541.387663, C00, 0.01590508
541.437624, C00, 0.01895458
543.985635, C00, 0.01537374
544.385323, C00, 0.01479991
544.535206, C00, 0.0153992
544.984855, C00, 0.01866386
545.084777, C00, 0.01879618
546.73349, C00, 0.02236917
547.083217, C00, 0.01600392
547.133178, C00, 0.0163616
547.183139, C00, 0.02776934
547.2331, C00, 0.0151512
547.283061, C00, 0.03541516
547.382983, C00, 0.02509782
547.432944, C00, 0.0163901
547.532866, C00, 0.01400052
547.582827, C00, 0.01380628
547.632788, C00, 0.01752511
547.6827489999999, C00, 0.03057568
548.182359, C00, 0.01480187
548.332242, C00, 0.0149657
548.582047, C00, 0.02631402
548.632008, C00, 0.02074288
548.831852, C00, 0.01561619
548.931774, C00, 0.01613973
549.681189, C00, 0.01891837
550.130838, C00, 0.01541328
551.080097, C00, 0.01393661
556.126158, C00, 0.01554346
558.973935, C00, 0.01380273
566.168319, C00, 0.016481
572.7631710000001, C00, 0.01703314
573.5125860000001, C00, 0.02849387
573.562547, C00, 0.04414
574.062157, C00, 0.01700346
574.411884, C00, 0.01858674
574.461845, C00, 0.01635365
574.611728, C00, 0.01620527
574.961455, C00, 0.01681666
575.560987, C00, 0.02204348
575.610948, C00, 0.01997966
575.910714, C00, 0.01657015
576.71009, C00, 0.0138613
576.859973, C00, 0.01463824
577.859193, C00, 0.0153146
578.059037, C00, 0.01623113
578.808452, C00, 0.01728342
580.257321, C00, 0.01438919
582.005956, C00, 0.01605418
583.654669, C00, 0.01553833
584.504006, C00, 0.02091052
585.053577, C00, 0.01453895
586.102758, C00, 0.01587563
586.152719, C00, 0.01727362
586.20268, C00, 0.01929666
586.402524, C00, 0.01535065
586.452485, C00, 0.02163729
586.502446, C00, 0.02190466
587.751471, C00, 0.01706716
590.799092, C00, 0.01406983
591.398624, C00, 0.01565237
593.247181, C00, 0.0185047
595.895114, C00, 0.02319426
598.393164, C00, 0.01518741
599.891994, C00, 0.01426209
602.789732, C00, 0.02278904
602.889654, C00, 0.02957637
602.9895760000001, C00, 0.02967311
603.6390689999999, C00, 0.02246836
603.68903, C00, 0.01387472
603.838913, C00, 0.02667038
604.138679, C00, 0.0356046
606.486846, C00, 0.01767066
607.036417, C00, 0.01964683
607.1863, C00, 0.01578699
607.236261, C00, 0.02855807
607.436105, C00, 0.02029797
607.4860660000001, C00, 0.02109623
607.68591, C00, 0.02000256
607.735871, C00, 0.01805422
607.835793, C00, 0.01445936
608.635169, C00, 0.03171605
609.234701, C00, 0.01688643
609.6343890000001, C00, 0.01553959
610.2838819999999, C00, 0.02064614
610.733531, C00, 0.01545873
611.083258, C00, 0.01474212
611.832673, C00, 0.01924401
612.1824, C00, 0.01387176
612.332283, C00, 0.02960694
612.482166, C00, 0.01596831
612.582088, C00, 0.01582517
612.6320490000001, C00, 0.0286032
612.68201, C00, 0.02329955
612.731971, C00, 0.01785842
612.781932, C00, 0.0156348
612.881854, C00, 0.02505131
612.931815, C00, 0.03490663
613.031737, C00, 0.02213456
613.081698, C00, 0.02199402
613.2815419999999, C00, 0.02592993
613.881074, C00, 0.01556545
614.280762, C00, 0.01410791
614.480606, C00, 0.01632738
614.980216, C00, 0.01512502
615.329943, C00, 0.01536454
615.479826, C00, 0.01639636
616.828773, C00, 0.01383495
618.327603, C00, 0.02210661
618.627369, C00, 0.01928449
619.726511, C00, 0.01523181
633.915435, C00, 0.01550466
634.365084, C00, 0.02020193
636.66329, C00, 0.02007292
637.7124710000001, C00, 0.01674503
647.504827, C00, 0.01799023
648.404125, C00, 0.01604173
650.202721, C00, 0.0138405
653.0504979999999, C00, 0.01381341
654.14964, C00, 0.01698897
678.730452, C00, 0.01509957
680.179321, C00, 0.01522512
680.529048, C00, 0.03142384
680.728892, C00, 0.01900203
680.778853, C00, 0.02113871
681.178541, C00, 0.01474175
681.478307, C00, 0.02395336
682.5274879999999, C00, 0.01435288
682.977137, C00, 0.01499334
683.2769029999999, C00, 0.01494435
683.326864, C00, 0.01462674
683.576669, C00, 0.01529564
685.575109, C00, 0.01440448
690.571209, C00, 0.01405288
695.367465, C00, 0.01809007
701.912356, C00, 0.01462404
710.905336, C00, 0.01510194
712.903776, C00, 0.01563785
738.783574, C00, 0.01510656
741.431507, C00, 0.01850321
741.4814679999999, C00, 0.0200712
741.5813900000001, C00, 0.02231283
741.681312, C00, 0.01705693
741.831195, C00, 0.01436073
741.881156, C00, 0.01628043
741.981078, C00, 0.01631363
742.031039, C00, 0.01438762
742.2308829999999, C00, 0.02139391
743.180142, C00, 0.02366287
743.429947, C00, 0.02506389
743.629791, C00, 0.01810379
744.329245, C00, 0.0159944
744.429167, C00, 0.0139714
744.529089, C00, 0.01887724
744.828855, C00, 0.01557527
745.07866, C00, 0.02075364
745.2285429999999, C00, 0.01609465
745.378426, C00, 0.01380832
745.57827, C00, 0.01558179
746.027919, C00, 0.02368972
746.377646, C00, 0.01529582
746.7273729999999, C00, 0.01612882
746.927217, C00, 0.01958846
747.776554, C00, 0.01491874
748.2262030000001, C00, 0.01552309
748.525969, C00, 0.01989608
748.825735, C00, 0.01408207
749.025579, C00, 0.02523759
750.224643, C00, 0.01920104
764.56345, C00, 0.0170522
764.663372, C00, 0.01399901
768.260564, C00, 0.01515153
769.709433, C00, 0.01782215
770.358926, C00, 0.01425543
771.208263, C00, 0.01412487
781.250424, C00, 0.01658184
975.149065, C00, 0.01517336
980.295048, C00, 0.01501429
1240.69178, C00, 0.01444295
1240.941585, C00, 0.01609866
1247.336593, C00, 0.01625406
1676.741321, C00, 0.01228817
1678.939605, C00, 0.01249575
1681.987226, C00, 0.0181688
1682.037187, C00, 0.01485762
1682.087148, C00, 0.01308834
1699.873264, C00, 0.01413386
1700.972406, C00, 0.01518394
1718.15899, C00, 0.0134961
1762.12467, C00, 0.01332412
1841.312855, C00, 0.01488028
1848.157512, C00, 0.01219077
1911.50806, C00, 0.01639785
1912.657163, C00, 0.01393561
1913.00689, C00, 0.0137838
1913.056851, C00, 0.0173179
1933.041251, C00, 0.01527593
2041.956231, C00, 0.01484244
2043.754827, C00, 0.01299638
0.099922, C01, 0.03097659
0.149883, C01, 0.02769196
0.299766, C01, 0.02900362
0.399688, C01, 0.02228439
0.599532, C01, 0.02241391
0.699454, C01, 0.02409357
0.849337, C01, 0.02715248
0.899298, C01, 0.04540384
1.049181, C01, 0.03321034
1.099142, C01, 0.02540016
