Time (s), Cell Name, Value
0.449649, C00, 0.0126742
5.145983, C00, 0.01272964
8.843097, C00, 0.01211173
13.439509, C00, 0.01448419
16.437169, C00, 0.01224188
19.934439, C00, 0.02336476
20.034361, C00, 0.01358261
20.134283, C00, 0.01457074
20.184244, C00, 0.01568101
20.384088, C00, 0.01285934
20.434049, C00, 0.05348402
20.48401, C00, 0.01448356
20.633893, C00, 0.01523857
20.683854, C00, 0.03042276
20.733815, C00, 0.02995086
20.783776, C00, 0.02147558
20.833737, C00, 0.01485848
20.883698, C00, 0.03464864
20.98362, C00, 0.01506551
21.033581, C00, 0.02103603
21.083542, C00, 0.02341989
21.133503, C00, 0.03781104
21.183464, C00, 0.03319517
21.233425, C00, 0.05481443
21.283386, C00, 0.04414171
21.333347, C00, 0.04491568
21.383308, C00, 0.02635136
21.433269, C00, 0.0459851
21.48323, C00, 0.04363197
21.533191, C00, 0.08393887
21.583152, C00, 0.01495051
21.633113, C00, 0.0315944
21.683074, C00, 0.02988482
21.733035, C00, 0.0690006
21.782996, C00, 0.0658474
21.832957, C00, 0.02065259
21.882918, C00, 0.01563311
21.932879, C00, 0.07105297
21.98284, C00, 0.02792025
22.032801, C00, 0.04618323
22.082762, C00, 0.01919681
22.132723, C00, 0.03520924
22.182684, C00, 0.02297902
22.48245, C00, 0.03525555
22.532411, C00, 0.02769178
22.582372, C00, 0.01854861
22.682294, C00, 0.02364862
22.782216, C00, 0.01214007
22.882138, C00, 0.0355143
22.932099, C00, 0.04965618
23.181904, C00, 0.03764889
23.231865, C00, 0.02305225
23.281826, C00, 0.05090332
23.331787, C00, 0.03102094
23.381748, C00, 0.02185392
23.681514, C00, 0.02589235
23.731475, C00, 0.02704933
23.781436, C00, 0.02349836
24.031241, C00, 0.03486896
24.281046, C00, 0.03348577
24.331007, C00, 0.0183256
24.380968, C00, 0.05467978
24.430929, C00, 0.0301353
24.530851, C00, 0.0169484
24.580812, C00, 0.02112129
24.680734, C00, 0.01935834
24.730695, C00, 0.04671741
24.880578, C00, 0.01776144
24.930539, C00, 0.01257631
24.9805, C00, 0.0163793
25.030461, C00, 0.01396129
25.080422, C00, 0.03086907
25.130383, C00, 0.01628929
25.180344, C00, 0.02425167
25.280266, C00, 0.01650423
25.380188, C00, 0.02678129
25.580032, C00, 0.02492791
25.729915, C00, 0.01509938
25.779876, C00, 0.02483344
26.129603, C00, 0.02425629
26.179564, C00, 0.03062683
26.429369, C00, 0.03255883
26.529291, C00, 0.02346897
26.579252, C00, 0.02257872
26.629213, C00, 0.0173358
26.97894, C00, 0.0164836
