Time (s), Cell Name, Value
0.349727, C00, 0.0385263
0.399688, C00, 0.0340969
0.449649, C00, 0.0302192
0.599532, C00, 0.03436893
0.699454, C00, 0.05221802
0.849337, C00, 0.04347038
0.99922, C00, 0.04205179
1.149103, C00, 0.04512888
1.348947, C00, 0.03775108
1.548791, C00, 0.03528136
1.648713, C00, 0.03316027
2.198284, C00, 0.03601974
2.398128, C00, 0.02960616
4.846217, C00, 0.0360736
5.445749, C00, 0.04438221
5.49571, C00, 0.05193892
5.645593, C00, 0.03018588
5.695554, C00, 0.02975151
5.795476, C00, 0.03685203
5.99532, C00, 0.03099504
6.045281, C00, 0.03023151
6.145203, C00, 0.0445134
6.245125, C00, 0.0379405
6.345047, C00, 0.04366171
6.395008, C00, 0.0379039
6.49493, C00, 0.0339238
6.544891, C00, 0.03617436
6.594852, C00, 0.03063899
6.644813, C00, 0.04536694
6.794696, C00, 0.03308457
6.844657, C00, 0.03470606
7.394228, C00, 0.02970439
7.444189, C00, 0.03613406
7.943799, C00, 0.02944487
8.143643000000001, C00, 0.04585201
8.293526, C00, 0.03348422
8.393447999999999, C00, 0.03071433
8.593292, C00, 0.03580403
8.743175000000001, C00, 0.03234065
9.042941000000001, C00, 0.03105211
9.292745999999999, C00, 0.03282332
9.392668, C00, 0.04523081
9.542551, C00, 0.04428673
9.692434, C00, 0.04794884
10.791576, C00, 0.03131434
11.441069, C00, 0.04687738
12.590172, C00, 0.03076971
12.889938, C00, 0.03574228
17.036701, C00, 0.05187554
25.030461, C00, 0.04884887
26.629213, C00, 0.0310443
26.97894, C00, 0.03215852
27.078862, C00, 0.03311154
27.278706, C00, 0.0409618
27.328667, C00, 0.03085428
27.378628, C00, 0.03088117
27.528511, C00, 0.03435907
27.578472, C00, 0.03404531
27.628433, C00, 0.04202059
27.728355, C00, 0.04106095
27.778316, C00, 0.03915164
27.828277, C00, 0.03010088
27.878238, C00, 0.03327692
27.928199, C00, 0.04496783
27.97816, C00, 0.04491776
28.078082, C00, 0.03362006
28.128043, C00, 0.03125501
28.178004, C00, 0.05385542
28.227965, C00, 0.03088611
28.277926, C00, 0.03268367
28.427809, C00, 0.03792977
28.627653, C00, 0.0371049
28.677614, C00, 0.05982304
28.777536, C00, 0.05592906
28.827497, C00, 0.04534703
28.877458, C00, 0.06553692
