Time (s), Cell Name, Value
0.449649, C00, 0.03753829
0.7494150000000001, C00, 0.02813214
0.899298, C00, 0.03253776
1.099142, C00, 0.03430986
12.240445, C00, 0.03582062
12.540211, C00, 0.03003204
12.590172, C00, 0.03688633
12.690094, C00, 0.03024207
12.790016, C00, 0.03166401
12.839977, C00, 0.04429892
12.98986, C00, 0.03658798
13.089782, C00, 0.04531747
13.139743, C00, 0.03076923
13.239665, C00, 0.03532231
13.289626, C00, 0.03111607
13.339587, C00, 0.03249833
13.389548, C00, 0.03134757
13.439509, C00, 0.03343448
13.48947, C00, 0.0349741
13.539431, C00, 0.03841704
13.639353, C00, 0.0345338
13.689314, C00, 0.04162198
13.739275, C00, 0.03467518
13.789236, C00, 0.03490543
13.839197, C00, 0.04644638
13.939119, C00, 0.03599226
13.98908, C00, 0.03478879
14.039041, C00, 0.04139924
14.9883, C00, 0.03253385
28.377848, C00, 0.03185758
28.627653, C00, 0.02939376
28.677614, C00, 0.03120154
28.727575, C00, 0.03098065
28.827497, C00, 0.03223959
28.877458, C00, 0.04254237
28.927419, C00, 0.02963305
28.97738, C00, 0.03547183
29.027341, C00, 0.03735816
29.077302, C00, 0.02909234
29.177224, C00, 0.04125601
37.021101, C00, 0.03017111
37.121023, C00, 0.03544001
37.170984, C00, 0.03142259
37.270906, C00, 0.0431591
37.320867, C00, 0.03663889
37.47075, C00, 0.03155199
47.363028, C00, 0.02897058
56.356008, C00, 0.03071263
56.45593, C00, 0.0313096
56.605813, C00, 0.0330254
56.755696, C00, 0.03411123
56.905579, C00, 0.03372192
56.95554, C00, 0.02923897
57.055462, C00, 0.02974808
57.205345, C00, 0.03512797
62.900899, C00, 0.02890292
63.000821, C00, 0.03370377
63.200665, C00, 0.03129855
63.250626, C00, 0.03266999
63.400509, C00, 0.03611279
63.550392, C00, 0.03193593
63.600353, C00, 0.03485531
63.650314, C00, 0.02864361
63.700275, C00, 0.03400946
63.750236, C00, 0.03681773
63.800197, C00, 0.02894306
63.900119, C00, 0.04282352
64.05000200000001, C00, 0.03316915
71.44423, C00, 0.03657227
71.494191, C00, 0.02891931
71.59411299999999, C00, 0.03345113
71.644074, C00, 0.0283583
71.843918, C00, 0.03336711
75.790837, C00, 0.03061049
75.890759, C00, 0.03535281
75.990681, C00, 0.03620867
76.090603, C00, 0.03228255
76.140564, C00, 0.0329906
76.240486, C00, 0.04080445
76.340408, C00, 0.0339849
76.39036900000001, C00, 0.04017851
76.540252, C00, 0.03042531
76.59021300000001, C00, 0.03770223
80.587093, C00, 0.03671041
80.63705400000001, C00, 0.04178891
80.736976, C00, 0.03545867
80.83689800000001, C00, 0.03965458
80.93682, C00, 0.04704103
81.036742, C00, 0.03412065
81.086703, C00, 0.03820091
81.136664, C00, 0.03020889
84.733856, C00, 0.02979289
84.783817, C00, 0.03910545
84.88373900000001, C00, 0.03085047
84.9337, C00, 0.03192489
84.983661, C00, 0.04247479
85.083583, C00, 0.03887895
85.133544, C00, 0.03596923
85.183505, C00, 0.03960499
85.23346600000001, C00, 0.03088647
85.283427, C00, 0.03588492
85.333388, C00, 0.03775355
85.383349, C00, 0.03304321
85.43331000000001, C00, 0.03702816
85.483271, C00, 0.04144794
85.533232, C00, 0.03234056
85.58319299999999, C00, 0.03366673
85.633154, C00, 0.05455703
85.683115, C00, 0.0385282
85.733076, C00, 0.03354692
85.78303699999999, C00, 0.0413934
85.832998, C00, 0.0321641
85.882959, C00, 0.04420173
85.93292, C00, 0.02869636
85.98288100000001, C00, 0.03740525
120.805698, C00, 0.03283736
120.955581, C00, 0.03937581
121.055503, C00, 0.02845493
121.105464, C00, 0.0289191
121.205386, C00, 0.02854794
124.602734, C00, 0.03630896
124.702656, C00, 0.0342574
124.752617, C00, 0.03441159
124.852539, C00, 0.02931915
124.9025, C00, 0.02952567
125.002422, C00, 0.0316799
125.102344, C00, 0.04553095
125.252227, C00, 0.04447302
125.352149, C00, 0.02825186
125.40211, C00, 0.03158686
128.649575, C00, 0.02990915
128.749497, C00, 0.04817183
128.799458, C00, 0.03189912
128.89938, C00, 0.04218781
128.949341, C00, 0.03835741
128.999302, C00, 0.02813402
129.049263, C00, 0.04533768
129.099224, C00, 0.03030726
129.149185, C00, 0.03216141
129.199146, C00, 0.04000664
129.249107, C00, 0.0389193
129.299068, C00, 0.03885168
129.349029, C00, 0.03729567
129.39899, C00, 0.03057778
129.448951, C00, 0.0298036
129.498912, C00, 0.04936811
138.991502, C00, 0.03840714
139.39119, C00, 0.03295645
139.491112, C00, 0.02865048
139.541073, C00, 0.0287395
139.591034, C00, 0.02958474
139.690956, C00, 0.03001544
139.8908, C00, 0.03241876
141.239747, C00, 0.03757927
141.289708, C00, 0.03028426
141.339669, C00, 0.05142277
141.38963, C00, 0.04326501
141.489552, C00, 0.04472715
141.539513, C00, 0.03032362
141.589474, C00, 0.0321632
141.639435, C00, 0.03118578
141.689396, C00, 0.04650357
141.739357, C00, 0.04331371
141.789318, C00, 0.0340876
141.839279, C00, 0.03714171
141.88924, C00, 0.03537238
141.939201, C00, 0.04548663
141.989162, C00, 0.02831346
142.039123, C00, 0.04325229
142.238967, C00, 0.05572218
142.288928, C00, 0.04229105
142.338889, C00, 0.03916848
142.38885, C00, 0.05099267
142.438811, C00, 0.04540163
142.538733, C00, 0.04198813
142.588694, C00, 0.04594725
142.638655, C00, 0.05149919
142.688616, C00, 0.05027926
142.738577, C00, 0.03802878
142.788538, C00, 0.03698498
142.938421, C00, 0.03002733
143.188226, C00, 0.03096062
143.288148, C00, 0.03292078
143.637875, C00, 0.03082204
145.586354, C00, 0.05339849
145.636315, C00, 0.03070667
145.686276, C00, 0.06114355
145.736237, C00, 0.04046699
145.786198, C00, 0.04526699
145.836159, C00, 0.06547058
145.936081, C00, 0.05898231
145.986042, C00, 0.04310763
146.036003, C00, 0.04126889
146.085964, C00, 0.0545547
146.135925, C00, 0.04604459
146.185886, C00, 0.04483771
146.235847, C00, 0.04098147
146.285808, C00, 0.05620283
146.335769, C00, 0.06041449
146.38573, C00, 0.04948759
146.435691, C00, 0.03593487
146.485652, C00, 0.0571571
146.535613, C00, 0.05789739
146.585574, C00, 0.03913224
146.635535, C00, 0.05919075
146.685496, C00, 0.03675824
146.735457, C00, 0.06231004
146.785418, C00, 0.04061663
146.835379, C00, 0.03881592
146.88534, C00, 0.06040657
146.935301, C00, 0.04676414
146.985262, C00, 0.04026055
147.035223, C00, 0.058981
147.085184, C00, 0.05783117
147.135145, C00, 0.04153103
147.235067, C00, 0.04193264
147.285028, C00, 0.03922546
147.334989, C00, 0.06133372
147.38495, C00, 0.04263586
147.434911, C00, 0.04471582
147.484872, C00, 0.03423977
147.584794, C00, 0.04538965
147.634755, C00, 0.04208297
147.734677, C00, 0.03612584
147.784638, C00, 0.03255177
147.834599, C00, 0.02902985
147.934521, C00, 0.03659874
148.234287, C00, 0.034042
148.334209, C00, 0.03487527
148.434131, C00, 0.02995545
148.633975, C00, 0.03575069
149.033663, C00, 0.03567052
149.133585, C00, 0.03626496
149.283468, C00, 0.03263873
149.433351, C00, 0.03779501
149.683156, C00, 0.03059477
154.8791, C00, 0.02847001
154.979022, C00, 0.04251903
155.028983, C00, 0.03027827
155.078944, C00, 0.0383798
155.128905, C00, 0.04545137
155.178866, C00, 0.03631434
155.228827, C00, 0.03186831
155.278788, C00, 0.03701594
155.328749, C00, 0.04392737
155.37871, C00, 0.05121157
155.428671, C00, 0.04258215
155.478632, C00, 0.03257439
155.528593, C00, 0.04444897
155.578554, C00, 0.0437808
155.628515, C00, 0.03989285
155.678476, C00, 0.04684919
157.976682, C00, 0.02870387
169.267868, C00, 0.03137792
169.767478, C00, 0.03696893
176.961862, C00, 0.03384933
177.061784, C00, 0.02860232
177.161706, C00, 0.02992809
177.311589, C00, 0.0350522
177.411511, C00, 0.03917748
177.511433, C00, 0.03461877
177.611355, C00, 0.02814648
177.711277, C00, 0.03626409
177.811199, C00, 0.03621811
177.86116, C00, 0.02940255
177.961082, C00, 0.03515428
192.199967, C00, 0.03327113
195.497393, C00, 0.03037159
195.597315, C00, 0.03604613
195.647276, C00, 0.02822813
196.046964, C00, 0.03036083
196.096925, C00, 0.0318716
196.146886, C00, 0.02908152
196.246808, C00, 0.03502002
196.296769, C00, 0.03737557
196.396691, C00, 0.03909397
196.446652, C00, 0.03810224
196.696457, C00, 0.02846122
217.380311, C00, 0.02955358
233.018104, C00, 0.02810661
233.617636, C00, 0.03464012
233.81748, C00, 0.03396845
233.867441, C00, 0.02839077
233.917402, C00, 0.02995655
234.017324, C00, 0.03510526
234.067285, C00, 0.03147069
234.117246, C00, 0.03310117
234.217168, C00, 0.03736156
234.267129, C00, 0.03942662
234.367051, C00, 0.03184515
234.417012, C00, 0.03170702
239.213268, C00, 0.04854615
239.31319, C00, 0.02881171
239.413112, C00, 0.03847033
239.463073, C00, 0.03200221
239.513034, C00, 0.03911462
252.902582, C00, 0.03417091
253.152387, C00, 0.03098063
253.252309, C00, 0.04139388
254.901022, C00, 0.02872061
254.950983, C00, 0.02884445
255.050905, C00, 0.03574596
255.100866, C00, 0.02839299
255.150827, C00, 0.03458758
255.200788, C00, 0.03039055
255.30071, C00, 0.0332312
255.350671, C00, 0.03474817
255.400632, C00, 0.03951651
255.500554, C00, 0.03799662
255.600476, C00, 0.03885782
258.947863, C00, 0.04142095
258.997824, C00, 0.03204669
259.047785, C00, 0.03317383
259.097746, C00, 0.03235598
259.147707, C00, 0.03928247
259.247629, C00, 0.03191712
259.29759, C00, 0.03220749
259.347551, C00, 0.03082424
266.392052, C00, 0.02993241
266.691818, C00, 0.03262626
266.79174, C00, 0.02894491
266.841701, C00, 0.03733134
266.941623, C00, 0.0298256
267.041545, C00, 0.02925113
267.091506, C00, 0.0308663
267.141467, C00, 0.02979827
267.191428, C00, 0.04385036
267.29135, C00, 0.02926821
267.341311, C00, 0.03179213
271.088386, C00, 0.03092486
271.138347, C00, 0.04127492
271.238269, C00, 0.03182088
271.28823, C00, 0.04527177
271.338191, C00, 0.0309208
271.388152, C00, 0.03284168
271.438113, C00, 0.03299308
271.488074, C00, 0.04322055
271.587996, C00, 0.05066994
271.637957, C00, 0.03087875
271.687918, C00, 0.03048897
271.737879, C00, 0.04819703
271.837801, C00, 0.03783232
271.887762, C00, 0.0388869
271.937723, C00, 0.03876486
