Time (s), Cell Name, Value
0.299766, C00, 0.06673539
0.599532, C00, 0.1013082
1.249025, C00, 0.05468607
1.398908, C00, 0.05235159
1.648713, C00, 0.07031286
1.798596, C00, 0.06152821
2.348167, C00, 0.05266345
2.548011, C00, 0.05037135
2.647933, C00, 0.06609017
2.797816, C00, 0.07048994
3.397348, C00, 0.0619157
3.697114, C00, 0.05832934
3.797036, C00, 0.08183104
3.946919, C00, 0.06595582
3.99688, C00, 0.07021499
4.046841, C00, 0.07848507
4.096802, C00, 0.10229
4.146763, C00, 0.09697855
4.246685, C00, 0.0781216
4.296646, C00, 0.1065952
4.346607, C00, 0.09946257
4.396568, C00, 0.05924404
4.446529, C00, 0.09178925
4.49649, C00, 0.09049952
4.546451, C00, 0.1212795
4.646373, C00, 0.07473445
4.696334, C00, 0.05655861
4.896178, C00, 0.06126535
5.096022, C00, 0.05195558
5.145983, C00, 0.06940424
5.395788, C00, 0.05582023
5.595632, C00, 0.063613
5.695554, C00, 0.07458234
5.845437, C00, 0.07326335
6.145203, C00, 0.09260571
6.444969, C00, 0.05215949
6.694774, C00, 0.0581038
7.893838, C00, 0.05349243
8.143643000000001, C00, 0.07936805
8.493370000000001, C00, 0.06020224
8.543331, C00, 0.07837909
8.593292, C00, 0.07401329
8.643253, C00, 0.08053112
8.693213999999999, C00, 0.08187085
8.743175000000001, C00, 0.1071073
8.793136000000001, C00, 0.07703972
8.843097, C00, 0.07172149
8.893058, C00, 0.06447518
8.943019, C00, 0.0967204
8.992979999999999, C00, 0.05004096
9.042941000000001, C00, 0.09614491
9.092902, C00, 0.09577096
9.142863, C00, 0.0527072
9.192824, C00, 0.1405839
9.242785, C00, 0.08904052
9.342707000000001, C00, 0.08871865
9.392668, C00, 0.1482213
9.442629, C00, 0.1204046
9.542551, C00, 0.105845
9.592511999999999, C00, 0.069188
9.642473000000001, C00, 0.08099961
9.692434, C00, 0.09067523
9.742395, C00, 0.07245684
9.792356, C00, 0.1206483
9.842317, C00, 0.1161513
9.892277999999999, C00, 0.0634954
9.942239000000001, C00, 0.1660368
9.9922, C00, 0.07838821
10.042161, C00, 0.09124291
10.092122, C00, 0.09404016
10.142083, C00, 0.136111
10.192044, C00, 0.1041597
10.341927, C00, 0.1975387
10.391888, C00, 0.05384457
10.441849, C00, 0.1728058
10.49181, C00, 0.05051792
10.541771, C00, 0.1134053
10.591732, C00, 0.0520463
10.641693, C00, 0.147288
10.691654, C00, 0.0600028
10.741615, C00, 0.08689797
10.791576, C00, 0.1270255
10.841537, C00, 0.1113993
10.891498, C00, 0.1304843
11.041381, C00, 0.1236262
11.141303, C00, 0.1776168
11.191264, C00, 0.07595789
11.341147, C00, 0.1577941
11.49103, C00, 0.06073439
11.540991, C00, 0.06821513
11.640913, C00, 0.07162726
11.690874, C00, 0.09465539
11.790796, C00, 0.07036185
11.840757, C00, 0.1845396
12.040601, C00, 0.07389081
12.090562, C00, 0.07393265
12.140523, C00, 0.08264041
12.190484, C00, 0.0536207
12.290406, C00, 0.1260415
12.340367, C00, 0.1416672
12.49025, C00, 0.1296284
12.590172, C00, 0.08427548
12.690094, C00, 0.08008325
12.740055, C00, 0.08267069
12.790016, C00, 0.05929756
12.839977, C00, 0.06748831
13.039821, C00, 0.05029726
13.089782, C00, 0.07162917
13.189704, C00, 0.05907822
13.389548, C00, 0.07499659
13.439509, C00, 0.05693293
13.48947, C00, 0.08836567
13.639353, C00, 0.0532763
13.689314, C00, 0.09117353
13.789236, C00, 0.07088172
13.839197, C00, 0.05268466
13.939119, C00, 0.05155706
14.039041, C00, 0.08635974
14.138963, C00, 0.07235038
14.288846, C00, 0.08454847
14.338807, C00, 0.0616169
14.48869, C00, 0.05279374
14.538651, C00, 0.09312093
14.688534, C00, 0.08456481
14.738495, C00, 0.05570638
14.838417, C00, 0.07896423
14.888378, C00, 0.1732448
14.938339, C00, 0.06740081
14.9883, C00, 0.1099572
15.038261, C00, 0.09492302
15.088222, C00, 0.08580875
15.138183, C00, 0.1014376
15.188144, C00, 0.09216654
15.238105, C00, 0.1244488
15.288066, C00, 0.05272806
15.338027, C00, 0.08056903
15.387988, C00, 0.117087
15.437949, C00, 0.08067548
15.48791, C00, 0.06150019
15.537871, C00, 0.1501755
15.587832, C00, 0.0959698
15.637793, C00, 0.08130896
15.687754, C00, 0.06561995
15.737715, C00, 0.058218
15.787676, C00, 0.1150693
15.837637, C00, 0.0557059
15.937559, C00, 0.07745481
15.98752, C00, 0.1075388
16.037481, C00, 0.05369401
16.137403, C00, 0.08894992
16.187364, C00, 0.09576428
16.337247, C00, 0.1480552
16.48713, C00, 0.07829344
16.587052, C00, 0.0872736
16.637013, C00, 0.06289065
16.736935, C00, 0.05526674
16.786896, C00, 0.06201088
16.836857, C00, 0.06502283
16.98674, C00, 0.09912503
17.136623, C00, 0.1167536
17.286506, C00, 0.05984163
17.336467, C00, 0.06350732
17.386428, C00, 0.05865538
17.48635, C00, 0.07021654
17.536311, C00, 0.05728328
17.586272, C00, 0.08081508
17.786116, C00, 0.1539458
18.035921, C00, 0.07560897
18.085882, C00, 0.05305684
18.235765, C00, 0.06676674
18.335687, C00, 0.07363141
18.585492, C00, 0.0695672
18.635453, C00, 0.05190134
18.685414, C00, 0.07051063
18.835297, C00, 0.07547331
19.035141, C00, 0.07696259
19.085102, C00, 0.0881896
19.135063, C00, 0.1083975
19.185024, C00, 0.07898962
19.234985, C00, 0.118722
19.284946, C00, 0.2224493
19.384868, C00, 0.1039587
19.434829, C00, 0.05050647
19.48479, C00, 0.156203
19.534751, C00, 0.07593453
19.584712, C00, 0.07563508
19.634673, C00, 0.1215888
19.684634, C00, 0.0972954
19.734595, C00, 0.08521271
19.784556, C00, 0.154774
19.834517, C00, 0.1043152
19.884478, C00, 0.1108694
19.934439, C00, 0.0935992
20.034361, C00, 0.1248045
20.084322, C00, 0.07184005
20.134283, C00, 0.1203709
20.184244, C00, 0.09587133
20.234205, C00, 0.1239843
20.284166, C00, 0.1520337
20.334127, C00, 0.1119237
20.384088, C00, 0.06618297
20.434049, C00, 0.1396191
20.48401, C00, 0.09416294
20.533971, C00, 0.1060202
20.583932, C00, 0.100327
20.633893, C00, 0.08867979
20.683854, C00, 0.08205462
20.733815, C00, 0.1129229
20.783776, C00, 0.1259181
20.833737, C00, 0.06091619
20.883698, C00, 0.05733466
20.933659, C00, 0.09084177
20.98362, C00, 0.133189
21.033581, C00, 0.09042215
21.133503, C00, 0.06338573
21.183464, C00, 0.0847106
21.233425, C00, 0.05273986
21.333347, C00, 0.07424378
21.383308, C00, 0.08981514
21.48323, C00, 0.07317102
21.533191, C00, 0.0775615
21.583152, C00, 0.08241761
21.633113, C00, 0.06074381
21.683074, C00, 0.1186098
21.932879, C00, 0.1306044
22.032801, C00, 0.1169102
22.132723, C00, 0.1224977
22.232645, C00, 0.06565201
22.282606, C00, 0.07940161
22.382528, C00, 0.06939912
22.432489, C00, 0.1160024
22.532411, C00, 0.08656764
22.632333, C00, 0.08122027
22.782216, C00, 0.1016911
22.882138, C00, 0.05230367
22.932099, C00, 0.0896095
23.032021, C00, 0.1062074
23.131943, C00, 0.05409896
23.181904, C00, 0.1232139
23.331787, C00, 0.1064374
23.431709, C00, 0.07950211
23.531631, C00, 0.0573194
23.581592, C00, 0.0530597
