Time (s), Cell Name, Value
0.099922, C00, 0.03000861
0.449649, C00, 0.03513807
0.699454, C00, 0.03227305
0.99922, C00, 0.02397889
1.199064, C00, 0.02403012
41.017981, C00, 0.03130713
41.117903, C00, 0.02916164
41.217825, C00, 0.02857433
41.267786, C00, 0.02979009
41.317747, C00, 0.03390154
41.367708, C00, 0.03620835
41.417669, C00, 0.02962349
41.46763, C00, 0.03714631
41.517591, C00, 0.03346297
50.46061, C00, 0.03305164
50.510571, C00, 0.02780461
50.560532, C00, 0.03569819
50.610493, C00, 0.0293462
50.660454, C00, 0.04015952
50.710415, C00, 0.03222278
50.760376, C00, 0.03615682
50.810337, C00, 0.03438795
50.860298, C00, 0.04258709
50.910259, C00, 0.04580489
50.96022, C00, 0.05368271
51.010181, C00, 0.04651117
51.060142, C00, 0.04596052
51.110103, C00, 0.04429233
51.160064, C00, 0.05947429
51.210025, C00, 0.02893287
102.070323, C00, 0.02821543
102.120284, C00, 0.02628222
102.170245, C00, 0.02290607
102.220206, C00, 0.02877378
102.270167, C00, 0.02499865
102.320128, C00, 0.02909447
102.370089, C00, 0.02640897
102.42005, C00, 0.02910262
102.470011, C00, 0.03822403
102.519972, C00, 0.0314002
102.569933, C00, 0.04139553
102.619894, C00, 0.03110537
102.669855, C00, 0.0335905
102.769777, C00, 0.02870363
102.969621, C00, 0.02287304
103.019582, C00, 0.05376607
103.069543, C00, 0.06403449
103.119504, C00, 0.04823452
103.469231, C00, 0.02804801
103.519192, C00, 0.06750533
103.569153, C00, 0.06745499
103.619114, C00, 0.05982426
103.669075, C00, 0.05984738
103.719036, C00, 0.04101342
193.798719, C00, 0.0282536
193.898641, C00, 0.03645641
193.998563, C00, 0.03025409
194.098485, C00, 0.03167316
194.148446, C00, 0.03403209
194.198407, C00, 0.03703536
194.248368, C00, 0.03082304
194.298329, C00, 0.04500876
194.34829, C00, 0.03276443
194.398251, C00, 0.03455791
194.448212, C00, 0.04782057
194.498173, C00, 0.05199337
194.548134, C00, 0.03503239
194.598095, C00, 0.04807502
194.648056, C00, 0.06557947
194.698017, C00, 0.05389598
194.747978, C00, 0.05580276
194.797939, C00, 0.06028867
194.8479, C00, 0.05240434
194.897861, C00, 0.02847624
195.84712, C00, 0.0238021
233.367831, C00, 0.03346514
233.417792, C00, 0.02870656
233.467753, C00, 0.03181477
233.517714, C00, 0.02363266
233.567675, C00, 0.03095277
233.617636, C00, 0.03369799
233.667597, C00, 0.02260406
233.717558, C00, 0.02651636
233.767519, C00, 0.04440531
233.81748, C00, 0.04293913
233.867441, C00, 0.04178566
233.917402, C00, 0.03101563
233.967363, C00, 0.04314822
234.017324, C00, 0.04365522
234.067285, C00, 0.05379453
234.117246, C00, 0.04079112
234.167207, C00, 0.05167347
234.217168, C00, 0.06668976
234.267129, C00, 0.05938485
234.31709, C00, 0.04798508
234.8167, C00, 0.03183943
254.851061, C00, 0.0231306
254.901022, C00, 0.02925291
254.950983, C00, 0.03370565
255.000944, C00, 0.02988198
255.050905, C00, 0.03042851
255.100866, C00, 0.0461618
255.150827, C00, 0.0341405
255.200788, C00, 0.05412462
255.250749, C00, 0.04253115
255.30071, C00, 0.04672429
255.350671, C00, 0.07281697
255.400632, C00, 0.04443574
255.450593, C00, 0.04362875
255.950203, C00, 0.07082152
256.000164, C00, 0.09140265
256.050125, C00, 0.07893005
256.100086, C00, 0.08045915
256.150047, C00, 0.06849587
256.200008, C00, 0.07078123
256.249969, C00, 0.08403754
256.29993, C00, 0.08068717
256.349891, C00, 0.07094574
256.399852, C00, 0.0836342
256.449813, C00, 0.08209562
256.499774, C00, 0.08332276
256.549735, C00, 0.07008278
256.599696, C00, 0.08645809
256.649657, C00, 0.09251904
256.699618, C00, 0.08119404
256.79954, C00, 0.03451073
256.899462, C00, 0.0224008
257.049345, C00, 0.02526492
257.149267, C00, 0.02742732
257.399072, C00, 0.02729976
257.449033, C00, 0.03383273
257.548955, C00, 0.02438092
257.79876, C00, 0.03430766
257.998604, C00, 0.0240202
258.698058, C00, 0.02753747
270.28901, C00, 0.02997252
270.338971, C00, 0.03570512
270.388932, C00, 0.04078778
270.438893, C00, 0.04535725
270.538815, C00, 0.03890555
270.588776, C00, 0.02854441
270.638737, C00, 0.04966465
270.688698, C00, 0.04870796
270.738659, C00, 0.04441735
270.78862, C00, 0.04591757
270.838581, C00, 0.05489185
270.888542, C00, 0.05138069
270.938503, C00, 0.05801913
270.988464, C00, 0.06281814
271.038425, C00, 0.05952734
271.088386, C00, 0.06553072
271.138347, C00, 0.05933672
271.188308, C00, 0.05697948
271.238269, C00, 0.0480479
271.28823, C00, 0.05429423
271.338191, C00, 0.09390748
271.388152, C00, 0.07699084
271.438113, C00, 0.0553605
271.488074, C00, 0.07905406
271.538035, C00, 0.08385879
271.587996, C00, 0.08925676
271.637957, C00, 0.08636236
271.687918, C00, 0.05931538
271.737879, C00, 0.04260135
271.78784, C00, 0.05972403
271.887762, C00, 0.03220719
271.987684, C00, 0.03140306
272.037645, C00, 0.03180426
272.137567, C00, 0.03380305
272.437333, C00, 0.02689749
272.78706, C00, 0.03253096
273.136787, C00, 0.03140235
273.636397, C00, 0.03913337
274.185968, C00, 0.03389621
274.235929, C00, 0.03163341
274.535695, C00, 0.02965042
274.735539, C00, 0.02585301
446.122877, C00, 0.01154383
447.521785, C00, 0.01605534
450.219679, C00, 0.01649913
454.616247, C00, 0.01148639
464.058876, C00, 0.01114675
478.547566, C00, 0.01422005
481.345382, C00, 0.0126701
483.893393, C00, 0.01184471
485.342262, C00, 0.01110552
489.139298, C00, 0.01600752
492.086997, C00, 0.01513352
493.435944, C00, 0.01764613
497.582707, C00, 0.01174609
498.2322, C00, 0.01317902
521.563987, C00, 0.01284564
522.21348, C00, 0.01210689
524.311842, C00, 0.01125927
527.4094239999999, C00, 0.01452514
529.257981, C00, 0.01262226
536.352443, C00, 0.01466431
549.442225, C00, 0.01247331
567.428185, C00, 0.01421436
568.427405, C00, 0.01147859
572.923895, C00, 0.01112399
573.723271, C00, 0.01235504
575.67175, C00, 0.0164012
579.268942, C00, 0.01210723
605.498467, C00, 0.01272911
606.497687, C00, 0.01230304
607.396985, C00, 0.01174971
612.1932409999999, C00, 0.01448329
614.191681, C00, 0.01416003
616.240082, C00, 0.01441521
624.333764, C00, 0.01176601
634.226042, C00, 0.01310803
637.373585, C00, 0.01178723
640.720972, C00, 0.01978519
660.205762, C00, 0.02865735
661.6046700000001, C00, 0.01227293
662.653851, C00, 0.01197795
664.902096, C00, 0.0127961
669.448547, C00, 0.01513575
672.046519, C00, 0.01263132
673.645271, C00, 0.02329512
674.644491, C00, 0.01691564
676.3931260000001, C00, 0.01574188
682.438407, C00, 0.01324171
692.630451, C00, 0.0115112
693.479788, C00, 0.01320629
695.328345, C00, 0.01500503
696.927097, C00, 0.01571206
701.423587, C00, 0.01344392
702.722573, C00, 0.01224159
705.520389, C00, 0.01079096
710.516489, C00, 0.01117289
712.864656, C00, 0.0117461
719.609391, C00, 0.01083653
733.898237, C00, 0.01085759
734.847496, C00, 0.01157154
736.246404, C00, 0.0115923
737.795195, C00, 0.0139187
738.444688, C00, 0.01488515
742.191763, C00, 0.01398668
743.290905, C00, 0.01273227
746.2885649999999, C00, 0.01197375
755.2815450000001, C00, 0.0126013
763.3252660000001, C00, 0.01128413
764.274525, C00, 0.01193628
771.319026, C00, 0.01492377
774.816296, C00, 0.01194964
777.414268, C00, 0.01252482
778.313566, C00, 0.0113087
783.359627, C00, 0.01150906
786.806936, C00, 0.01143935
788.50561, C00, 0.01350172
795.0505010000001, C00, 0.01279997
796.4494089999999, C00, 0.01435846
798.148083, C00, 0.0154998
800.046601, C00, 0.01353197
802.644573, C00, 0.01087149
803.294066, C00, 0.01376592
806.441609, C00, 0.01220456
808.390088, C00, 0.01174132
809.539191, C00, 0.01134973
811.937319, C00, 0.01188865
813.336227, C00, 0.011698
813.3861879999999, C00, 0.01284432
815.034901, C00, 0.02899796
873.739076, C00, 0.02230828
883.43151, C00, 0.01472037
885.92956, C00, 0.01390687
896.071643, C00, 0.01194536
897.720356, C00, 0.01433851
898.9194199999999, C00, 0.01260304
900.368289, C00, 0.01203738
901.617314, C00, 0.01252829
902.9163, C00, 0.01130852
