Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,accepted,255,255,255,137,128,1,20,1
C01,accepted,255,255,255,108,172,1,13.0384,1
C02,accepted,255,255,255,195,117,1,16.1245,1
C03,accepted,255,255,255,140,246,1,12.0416,1
C04,accepted,255,255,255,136,217,1,10.0499,1
C05,accepted,255,255,255,196,210,1,11.1803,1
C06,accepted,255,255,255,193,72,1,11.1803,1
C07,accepted,255,255,255,112,189,1,10.7703,1
C08,accepted,255,255,255,185,209,1,11.0454,1
C09,accepted,255,255,255,169,139,1,10,1
C10,accepted,255,255,255,301,211,1,21.587,1
C11,accepted,255,255,255,241,99,1,17,1
C12,accepted,255,255,255,161,132,1,12.3693,1
C13,accepted,255,255,255,170,166,1,12.3693,1
C14,accepted,255,255,255,330,224,1,25,1
