 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.049961, 0.02341855, 0, 0.007854521, 0.00987494, 0.00685215, 0.02221243, 0, 0.01927077, 0.006259009, 0, 0.0005626818, 0, 0, 0, 0
0.099922, 0.0409748, 0, 0.0137374, 0.01284559, 0.006447583, 0.02121966, 0.001528725, 0.02933041, 0.005986109, 0.01013798, 0.001980388, 1.862645e-09, 0, 0, -9.313226e-10
0.149883, 0.03868705, 0.01009595, 0.02486888, 0.01652394, 0.006066903, 0.02861881, 0.02778624, 0.04238552, 0.01652321, 0.009530596, 0.001894908, 9.313226e-10, 0, 0, -9.313226e-10
0.199844, 0.06827083, 0.02846259, 0.04472588, 0.02921624, 0.006902367, 0.0460012, 0.04582404, 0.05726028, 0.01926642, 0.0156776, 0.001813117, 9.313226e-10, 0, 0, 0
0.249805, 0.1009203, 0.06223039, 0.07105029, 0.04242599, 0.02255721, 0.07238856, 0.06279112, 0.07612902, 0.02919415, 0.03299813, 0.001734857, 9.313226e-10, 0, 0, 0.004194104
0.299766, 0.1171545, 0.07798278, 0.08662994, 0.06019303, 0.03714348, 0.08263716, 0.07778016, 0.08843161, 0.03425431, 0.04404653, 0.001659975, 9.313226e-10, 0, 0, 0.004017168
0.349727, 0.1186519, 0.07938701, 0.08977738, 0.06288652, 0.03495049, 0.08755551, 0.07423322, 0.09644231, 0.03276071, 0.0433497, 0.001588324, 9.313226e-10, 0, 0, 0.003847697
0.399688, 0.1120273, 0.09065291, 0.08544572, 0.06385924, 0.03408589, 0.08364227, 0.07084803, 0.09662114, 0.03584204, 0.04075256, 0.001519768, 9.313226e-10, 0, 0, 0.003685376
0.449649, 0.1082565, 0.08836848, 0.09525925, 0.06020988, 0.03207342, 0.09295361, 0.06761722, 0.0995141, 0.03427921, 0.04734633, 0.001454169, 0, 0, 0, 0.003529902
0.49961, 0.1057348, 0.08994138, 0.1122569, 0.07380342, 0.03397693, 0.08879909, 0.06686351, 0.1003651, 0.03722566, 0.05048548, 0.001391402, 0, 0, 0, 0.003380987
0.549571, 0.1103481, 0.087065, 0.1199148, 0.07696001, 0.0319709, 0.08483028, 0.08047012, 0.1008414, 0.03832159, 0.05484097, 0.001331345, 0, 0, 0, 0.003238353
0.599532, 0.1118209, 0.08426951, 0.1412921, 0.09479313, 0.04502517, 0.1181486, 0.07680053, 0.0991014, 0.04795504, 0.06940757, 0.00127388, 0, 0, 0, 0.003101738
0.649493, 0.1223669, 0.08897875, 0.1631662, 0.1112279, 0.05296975, 0.1330386, 0.0971173, 0.09422948, 0.04586405, 0.0801357, 0.001218895, 9.313226e-10, 0, 0, 0.002970885
0.699454, 0.1224401, 0.08565412, 0.1726289, 0.1190613, 0.0708608, 0.1270925, 0.1076647, 0.08959707, 0.0525322, 0.07533465, 0.001166283, 0, 0, 0, 0.002845554
0.7494150000000001, 0.1261846, 0.08314256, 0.1995886, 0.1191156, 0.07985079, 0.1438003, 0.1225546, 0.08519239, 0.05409199, 0.07365365, 0.001115942, -9.313226e-10, 0, 0, 0.007854141
0.799376, 0.1255566, 0.09534402, 0.2139879, 0.1283908, 0.09146477, 0.1501458, 0.144238, 0.09480367, 0.05475137, 0.07161161, 0.001067775, -9.313226e-10, 0, 0, 0.007522801
0.849337, 0.1256227, 0.09582064, 0.2282322, 0.1361869, 0.08888292, 0.169069, 0.1521266, 0.09779412, 0.0572953, 0.08278833, 0.001021686, -9.313226e-10, 0, 0, 0.007205439
0.899298, 0.1317852, 0.1015909, 0.2302637, 0.1451346, 0.08363518, 0.1690231, 0.1613181, 0.1174667, 0.05479705, 0.09413345, 0.0009775865, -9.313226e-10, 0.009942554, 0, 0.008285942
0.949259, 0.1244272, 0.09992883, 0.2390447, 0.1489365, 0.0882449, 0.1675046, 0.158717, 0.1207445, 0.05481233, 0.09887378, 0.0009353906, -4.656613e-10, 0.009618398, 0, 0.007936385
0.99922, 0.1174801, 0.09667156, 0.2495691, 0.1502089, 0.08303482, 0.1805441, 0.1690082, 0.1274351, 0.06391858, 0.1061491, 0.0008950164, -4.656613e-10, 0.009876044, 0, 0.007601575
1.049181, 0.1160222, 0.1072492, 0.2556201, 0.152848, 0.07813236, 0.1741327, 0.1770872, 0.1261556, 0.06113153, 0.09978952, 0.0008563842, -4.656613e-10, 0.009448095, 0, 0.01080971
1.099142, 0.1095444, 0.1094851, 0.2566882, 0.1441132, 0.07351935, 0.1869543, 0.1871238, 0.1267664, 0.06806425, 0.09381098, 0.00081942, -4.656613e-10, 0.009038691, 0.0007848402, 0.01035368
1.149103, 0.1034282, 0.111376, 0.256395, 0.1378149, 0.06917869, 0.1801159, 0.1822213, 0.1260794, 0.06509643, 0.08819062, 0.0007840511, 0, 0.008647027, 0.0007356607, 0.009916893
1.199064, 0.09765354, 0.1094384, 0.2452648, 0.1299393, 0.06509431, 0.1720657, 0.1764217, 0.1198812, 0.06225802, 0.08290699, 0.0007502092, 0, 0.008272335, 0.001604494, 0.009498531
1.249025, 0.09734016, 0.1077163, 0.2423564, 0.1225136, 0.06125107, 0.1758542, 0.1829643, 0.1366224, 0.06756064, 0.07793991, 0.0007178271, 0, 0.007913879, 0.001816036, 0.01026291
1.298986, 0.1040894, 0.1079215, 0.2351049, 0.1155124, 0.05763474, 0.1870075, 0.1746208, 0.1308943, 0.06461479, 0.07576514, 0.0006868434, 0, 0.007570955, 0.00170224, 0.009829947
