Time (s), Cell Name, Value
0.049961, C00, 0.02341855
0.099922, C00, 0.0188638
0.199844, C00, 0.03174379
0.249805, C00, 0.03646123
0.299766, C00, 0.02186885
0.649493, C00, 0.01678929
2.747855, C00, 0.03401108
2.797816, C00, 0.05020975
2.847777, C00, 0.03934318
2.897738, C00, 0.05904038
2.947699, C00, 0.04256848
2.99766, C00, 0.04090017
3.047621, C00, 0.02363023
3.097582, C00, 0.02452895
3.347387, C00, 0.01702243
3.647153, C00, 0.01686937
4.046841, C00, 0.01812424
4.096802, C00, 0.01946361
4.196724, C00, 0.01975824
12.690094, C00, 0.01651954
17.736155, C00, 0.01531246
18.48557, C00, 0.01795061
19.085102, C00, 0.01590778
26.47933, C00, 0.01752117
32.97426, C00, 0.01845612
33.97348, C00, 0.0178572
34.273246, C00, 0.01501362
46.064042, C00, 0.02097739
46.114003, C00, 0.0267536
46.163964, C00, 0.03876952
46.213925, C00, 0.05570221
46.263886, C00, 0.04521409
46.313847, C00, 0.03908576
46.363808, C00, 0.04531699
46.413769, C00, 0.03376657
46.863418, C00, 0.01730114
46.913379, C00, 0.01607846
46.96334, C00, 0.01823124
47.013301, C00, 0.014963
47.96256, C00, 0.01658438
59.753356, C00, 0.01668835
60.402849, C00, 0.0181893
60.45281, C00, 0.018749
60.702615, C00, 0.01695467
61.002381, C00, 0.01857592
63.050782, C00, 0.01485921
66.198325, C00, 0.02792978
66.24828599999999, C00, 0.04718874
66.298247, C00, 0.05679754
66.348208, C00, 0.06556669
66.398169, C00, 0.05000402
66.44813000000001, C00, 0.04493399
66.59801299999999, C00, 0.0172926
66.747896, C00, 0.01633468
66.79785699999999, C00, 0.03121345
66.847818, C00, 0.02295196
66.897779, C00, 0.02337927
74.19208500000001, C00, 0.01938815
83.38490899999999, C00, 0.01720065
83.43487, C00, 0.01574051
83.484831, C00, 0.01799495
83.634714, C00, 0.02565216
83.684675, C00, 0.02491867
83.73463599999999, C00, 0.01689752
83.984441, C00, 0.02207363
84.184285, C00, 0.01679906
84.9337, C00, 0.01727353
85.03362199999999, C00, 0.01626654
85.083583, C00, 0.01960023
85.133544, C00, 0.01829015
85.183505, C00, 0.02716964
85.23346600000001, C00, 0.01623103
85.93292, C00, 0.01670821
86.082803, C00, 0.0155466
86.13276399999999, C00, 0.01568449
110.863459, C00, 0.02157172
110.963381, C00, 0.01657355
111.662835, C00, 0.02162734
111.712796, C00, 0.02807317
111.762757, C00, 0.03184234
111.91264, C00, 0.01833856
113.061743, C00, 0.01690994
113.111704, C00, 0.01703501
113.161665, C00, 0.02638032
128.799458, C00, 0.01539277
129.39899, C00, 0.01564417
