Time (s), Cell Name, Value
15.387988, C00, 0.03074206
15.437949, C00, 0.02554361
18.335687, C00, 0.02303602
18.385648, C00, 0.04864805
18.435609, C00, 0.05591051
18.48557, C00, 0.029999
18.585492, C00, 0.02586947
18.635453, C00, 0.04771936
84.783817, C00, 0.02881649
84.833778, C00, 0.04622119
84.88373900000001, C00, 0.04677125
84.9337, C00, 0.05347446
84.983661, C00, 0.08526894
85.03362199999999, C00, 0.05283141
85.083583, C00, 0.04180512
85.133544, C00, 0.06353605
85.183505, C00, 0.07053703
85.23346600000001, C00, 0.04915076
85.283427, C00, 0.05755305
85.333388, C00, 0.07049131
85.383349, C00, 0.02557278
85.43331000000001, C00, 0.04046088
85.483271, C00, 0.03850365
85.533232, C00, 0.03589958
85.58319299999999, C00, 0.06721348
85.633154, C00, 0.09081244
85.683115, C00, 0.07207006
85.733076, C00, 0.05399483
85.78303699999999, C00, 0.1315712
85.832998, C00, 0.09335071
85.882959, C00, 0.0727424
85.93292, C00, 0.1417094
85.98288100000001, C00, 0.08812976
86.032842, C00, 0.08813095
86.082803, C00, 0.1093117
86.13276399999999, C00, 0.05386651
86.182725, C00, 0.05971265
86.232686, C00, 0.07029164
86.282647, C00, 0.08241391
86.33260799999999, C00, 0.04146218
86.43253, C00, 0.03669953
86.53245200000001, C00, 0.03189909
86.582413, C00, 0.06698346
86.632374, C00, 0.1343887
86.68233499999999, C00, 0.1222728
86.73229600000001, C00, 0.0905304
86.782257, C00, 0.04186058
86.88217899999999, C00, 0.0724417
87.032062, C00, 0.0311352
87.08202300000001, C00, 0.04198205
87.131984, C00, 0.03359842
87.28186700000001, C00, 0.0568465
87.331828, C00, 0.0370667
87.381789, C00, 0.08235824
87.43174999999999, C00, 0.02599692
87.481711, C00, 0.03141809
87.581633, C00, 0.03521478
87.681555, C00, 0.04513454
87.731516, C00, 0.02664024
87.83143800000001, C00, 0.03024417
87.93136, C00, 0.05211449
88.131204, C00, 0.04275686
88.231126, C00, 0.05563533
88.38100900000001, C00, 0.03811997
88.43097, C00, 0.02347457
88.53089199999999, C00, 0.03225565
88.630814, C00, 0.03167391
88.73073599999999, C00, 0.02519089
88.830658, C00, 0.03610641
88.93058000000001, C00, 0.03974831
89.08046299999999, C00, 0.0257234
89.330268, C00, 0.03796613
89.43019, C00, 0.02819395
90.079683, C00, 0.02861282
90.279527, C00, 0.0247767
90.479371, C00, 0.02494597
91.528552, C00, 0.02519721
138.791658, C00, 0.03075553
177.611355, C00, 0.03339757
177.661316, C00, 0.02479177
185.754998, C00, 0.04532979
185.804959, C00, 0.03190362
185.85492, C00, 0.03300461
185.954842, C00, 0.02791696
261.845601, C00, 0.02336414
276.434213, C00, 0.05963818
282.579416, C00, 0.04702114
322.548216, C00, 0.02576413
322.598177, C00, 0.02662912
513.649041, C00, 0.02809477
549.07139, C00, 0.03073065
549.1713119999999, C00, 0.03018026
549.221273, C00, 0.05364312
549.271234, C00, 0.05499929
550.520259, C00, 0.04699976
550.5702199999999, C00, 0.02407496
553.5678799999999, C00, 0.02567703
589.439878, C00, 0.03461372
589.489839, C00, 0.04599623
678.47038, C00, 0.04492727
678.570302, C00, 0.02661408
681.767806, C00, 0.04020022
681.817767, C00, 0.07238279
681.8677280000001, C00, 0.02957851
756.009852, C00, 0.02887953
817.5618040000001, C00, 0.02435866
