Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,249,240,1,17.8045,1,1,1
C01,accepted,221,168,36,65,225,1,15.8114,1,1,1
C02,accepted,0,188,165,93,254,1,11.1803,1,1,1
C03,accepted,174,149,249,258,246,1,15.2971,1,1,1
C04,accepted,249,67,158,117,113,1,11.3137,1,1,1
C05,accepted,135,198,53,87,274,1,14.8661,1,1,1
C06,accepted,156,173,255,229,112,1,14.1421,1,1,1
C07,accepted,234,104,209,161,112,1,10.4403,1,1,1
C08,accepted,249,237,50,288,247,1,20.6155,1,1,1
C09,accepted,38,170,225,239,180,1,12.8062,1,1,1
C10,accepted,244,44,82,206,311,1,19.6977,1,1,1
C11,accepted,221,168,36,168,254,1,12.0416,1,1,1
C12,accepted,0,188,165,159,207,1,13.4164,1,1,1
C13,accepted,174,149,249,257,85,1,16.2788,1,1,1
C14,accepted,249,67,158,206,116,1,16.1245,1,1,1
C15,accepted,135,198,53,224,98,1,13.3417,1,1,1
C16,accepted,156,173,255,212,186,1,11.0454,1,1,1
