Time (s), Cell Name, Value
0.699454, C00, 0.03019476
0.799376, C00, 0.03578046
0.849337, C00, 0.05895653
0.899298, C00, 0.08593273
0.949259, C00, 0.06939071
0.99922, C00, 0.07128292
1.099142, C00, 0.04265946
1.149103, C00, 0.03042841
1.298986, C00, 0.02983874
1.648713, C00, 0.03287053
2.298206, C00, 0.03089133
2.99766, C00, 0.03164706
3.147543, C00, 0.03317043
19.634673, C00, 0.03628656
19.684634, C00, 0.0341531
19.784556, C00, 0.03880969
19.884478, C00, 0.04103591
19.934439, C00, 0.03685847
19.9844, C00, 0.03366765
20.034361, C00, 0.04089421
20.134283, C00, 0.04244906
20.184244, C00, 0.0383673
20.234205, C00, 0.04510525
20.284166, C00, 0.04294905
20.334127, C00, 0.04451135
20.384088, C00, 0.02915552
20.434049, C00, 0.04465365
20.48401, C00, 0.04594371
32.924299, C00, 0.03633358
32.97426, C00, 0.03408443
33.024221, C00, 0.04009851
33.074182, C00, 0.03112262
33.174104, C00, 0.04608917
33.224065, C00, 0.04654372
33.323987, C00, 0.0572654
33.373948, C00, 0.03964275
33.423909, C00, 0.03906518
33.47387, C00, 0.05210361
33.523831, C00, 0.05700818
33.573792, C00, 0.05104104
33.623753, C00, 0.03588346
33.673714, C00, 0.05825084
33.723675, C00, 0.06299478
33.773636, C00, 0.03569305
33.823597, C00, 0.07409096
33.873558, C00, 0.05781287
33.923519, C00, 0.05673528
33.97348, C00, 0.03836745
34.273246, C00, 0.03042525
34.523051, C00, 0.03627449
34.722895, C00, 0.03864366
36.321647, C00, 0.03465182
36.521491, C00, 0.02978492
38.619853, C00, 0.03657252
38.669814, C00, 0.05212811
38.719775, C00, 0.06778824
38.769736, C00, 0.06751084
38.819697, C00, 0.06227338
38.869658, C00, 0.0647977
38.919619, C00, 0.06316882
38.96958, C00, 0.07342064
39.019541, C00, 0.07330889
39.069502, C00, 0.07096434
39.119463, C00, 0.08366323
39.169424, C00, 0.07787859
39.219385, C00, 0.05263388
39.269346, C00, 0.04571104
39.319307, C00, 0.05001301
39.46919, C00, 0.03122312
39.519151, C00, 0.03035355
39.619073, C00, 0.05722797
39.718995, C00, 0.03389871
39.818917, C00, 0.03445977
39.9688, C00, 0.03508902
40.018761, C00, 0.03227061
40.318527, C00, 0.03504777
40.518371, C00, 0.03543496
40.718215, C00, 0.03078085
40.96802, C00, 0.03075051
41.017981, C00, 0.04136473
41.067942, C00, 0.07625616
41.117903, C00, 0.07636845
41.167864, C00, 0.09847558
41.217825, C00, 0.09353036
41.267786, C00, 0.06438202
41.317747, C00, 0.1016644
41.367708, C00, 0.08398491
41.417669, C00, 0.09047002
41.46763, C00, 0.07062936
41.517591, C00, 0.06445384
41.617513, C00, 0.05481112
41.717435, C00, 0.05994594
41.767396, C00, 0.05262518
41.817357, C00, 0.03363991
41.867318, C00, 0.04736841
41.917279, C00, 0.06933558
41.96724, C00, 0.05150902
42.017201, C00, 0.07804954
42.067162, C00, 0.09787834
42.117123, C00, 0.08095002
42.167084, C00, 0.05235052
42.217045, C00, 0.05511177
42.267006, C00, 0.04785025
42.366928, C00, 0.03550231
42.416889, C00, 0.03089845
42.46685, C00, 0.0526017
42.516811, C00, 0.0411669
42.566772, C00, 0.04061592
42.616733, C00, 0.04979706
42.666694, C00, 0.04171431
42.816577, C00, 0.03802764
42.866538, C00, 0.04258156
42.916499, C00, 0.04377043
43.016421, C00, 0.04269874
43.066382, C00, 0.0434466
43.216265, C00, 0.05176914
43.266226, C00, 0.03631425
43.366148, C00, 0.02946508
43.416109, C00, 0.03924227
43.46607, C00, 0.07669449
43.715875, C00, 0.05013728
43.765836, C00, 0.03975379
43.915719, C00, 0.03187644
44.065602, C00, 0.0445165
44.165524, C00, 0.04173279
44.215485, C00, 0.03247201
44.365368, C00, 0.03082478
44.415329, C00, 0.02999192
44.515251, C00, 0.03235722
44.765056, C00, 0.03768897
44.815017, C00, 0.03089637
44.914939, C00, 0.03323674
45.014861, C00, 0.03147304
45.164744, C00, 0.03849649
45.314627, C00, 0.03140938
45.46451, C00, 0.05451125
45.514471, C00, 0.03073609
45.564432, C00, 0.0314129
45.614393, C00, 0.02991045
45.714315, C00, 0.04112548
45.914159, C00, 0.0293563
46.213925, C00, 0.03171712
46.863418, C00, 0.03186047
47.013301, C00, 0.03411853
47.263106, C00, 0.04000837
47.862638, C00, 0.03283137
48.012521, C00, 0.06542599
48.062482, C00, 0.07586527
48.112443, C00, 0.07349235
48.162404, C00, 0.06405205
48.212365, C00, 0.1016673
48.262326, C00, 0.062442
48.312287, C00, 0.07880801
48.362248, C00, 0.08842582
48.412209, C00, 0.03289914
48.562092, C00, 0.0528602
48.711975, C00, 0.03412431
48.761936, C00, 0.03408754
48.911819, C00, 0.03048843
48.96178, C00, 0.03231531
49.011741, C00, 0.03621125
49.211585, C00, 0.03010428
49.261546, C00, 0.03417671
49.311507, C00, 0.03033173
49.46139, C00, 0.03178489
49.561312, C00, 0.04358327
49.861078, C00, 0.02920526
50.210805, C00, 0.03211093
50.260766, C00, 0.03456318
51.45983, C00, 0.03924507
51.559752, C00, 0.0439468
51.609713, C00, 0.08959508
51.659674, C00, 0.05983013
51.709635, C00, 0.08485222
51.759596, C00, 0.07679063
51.809557, C00, 0.07877451
51.859518, C00, 0.09574765
51.909479, C00, 0.05697358
51.95944, C00, 0.09487993
52.009401, C00, 0.07352543
52.059362, C00, 0.1083986
52.109323, C00, 0.08946395
52.159284, C00, 0.08675241
52.209245, C00, 0.06971347
52.259206, C00, 0.0664053
52.309167, C00, 0.1035987
52.359128, C00, 0.08896005
52.409089, C00, 0.05866134
52.45905, C00, 0.07656872
52.509011, C00, 0.0653069
52.558972, C00, 0.04059386
52.608933, C00, 0.03521121
52.658894, C00, 0.06104636
52.708855, C00, 0.03508365
52.758816, C00, 0.05647695
52.858738, C00, 0.05143297
52.908699, C00, 0.03760636
52.95866, C00, 0.05312693
53.008621, C00, 0.03276384
53.058582, C00, 0.04818976
53.108543, C00, 0.04269218
53.158504, C00, 0.05205357
53.208465, C00, 0.06407011
53.358348, C00, 0.06417322
53.45827, C00, 0.04544961
53.508231, C00, 0.04007864
53.558192, C00, 0.06347895
53.608153, C00, 0.0387243
53.708075, C00, 0.04777181
53.758036, C00, 0.05206275
53.857958, C00, 0.03898215
53.95788, C00, 0.03982794
54.007841, C00, 0.04094785
54.057802, C00, 0.0409503
54.107763, C00, 0.04331887
54.157724, C00, 0.03124964
54.207685, C00, 0.03054684
54.307607, C00, 0.04782325
54.407529, C00, 0.04125732
54.45749, C00, 0.04923421
54.557412, C00, 0.0609616
54.657334, C00, 0.03183198
54.707295, C00, 0.03504646
54.757256, C00, 0.0343051
54.807217, C00, 0.03777027
54.857178, C00, 0.02911669
54.907139, C00, 0.04426086
54.9571, C00, 0.03430563
55.057022, C00, 0.03324491
55.156944, C00, 0.03654194
