Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,72,104,1,19.2354,1,1,1
C01,accepted,221,168,36,146,173,1,27.8568,1,1,1
C02,accepted,0,188,165,149,143,1,14.1421,1,1,1
C03,accepted,174,149,249,103,105,1,16.5529,1,1,1
C04,accepted,249,67,158,136,232,1,24.0832,1,1,1
C05,accepted,135,198,53,85,173,1,17.1172,1,1,1
C06,accepted,156,173,255,259,239,1,22.6716,1,1,1
C07,accepted,234,104,209,230,216,1,15.6525,1,1,1
C08,accepted,249,237,50,208,215,1,10.198,1,1,1
C09,accepted,38,170,225,21,200,1,10.198,1,1,1
C10,accepted,244,44,82,288,215,1,20.2237,1,1,1
C11,accepted,221,168,36,236,121,1,9.05539,1,1,1
C12,accepted,0,188,165,49,148,1,15.8114,1,1,1
C13,accepted,174,149,249,154,295,1,12.1655,1,1,1
C14,accepted,249,67,158,247,207,1,18.0278,1,1,1
C15,accepted,135,198,53,212,203,1,9.21954,1,1,1
C16,accepted,156,173,255,207,118,1,12.083,1,1,1
C17,accepted,234,104,209,188,283,1,16.2788,1,1,1
C18,accepted,249,237,50,277,120,1,13.8924,1,1,1
C19,accepted,38,170,225,229,66,1,15.6525,1,1,1
C20,accepted,244,44,82,93,134,1,17.8045,1,1,1
C21,accepted,221,168,36,51,119,1,12.0416,1,1,1
C22,accepted,0,188,165,122,70,1,11.4018,1,1,1
C23,accepted,174,149,249,96,50,1,16.4012,1,1,1
C24,accepted,249,67,158,170,226,1,9.84886,1,1,1
C25,accepted,135,198,53,78,144,1,9.84886,1,1,1
C26,accepted,156,173,255,158,66,1,17.2627,1,1,1
C27,accepted,234,104,209,240,100,1,10.7703,1,1,1
C28,accepted,249,237,50,23,152,1,10,1,1,1
C29,accepted,38,170,225,242,153,1,13.1529,1,1,1
C30,accepted,244,44,82,277,102,1,12.0416,1,1,1
C31,accepted,221,168,36,245,182,1,12.6491,1,1,1
C32,accepted,0,188,165,282,85,1,11.0454,1,1,1
C33,accepted,174,149,249,156,51,1,10.4403,1,1,1
