Time (s), Cell Name, Value
0.649493, C00, 0.004411031
4.346607, C00, 0.006310267
7.344267, C00, 0.006296034
12.690094, C00, 0.009296849
16.886818, C00, 0.007592538
20.134283, C00, 0.008585453
22.782216, C00, 0.006110821
30.47621, C00, 0.006027304
30.576132, C00, 0.00648422
30.726015, C00, 0.00537464
30.775976, C00, 0.004262261
30.925859, C00, 0.007297661
31.025781, C00, 0.004813861
31.075742, C00, 0.004921347
31.175664, C00, 0.005728453
31.225625, C00, 0.006513048
31.325547, C00, 0.004534259
31.375508, C00, 0.005368657
31.425469, C00, 0.004436091
31.47543, C00, 0.006136857
31.525391, C00, 0.007115394
31.625313, C00, 0.004106171
31.675274, C00, 0.007266745
31.725235, C00, 0.006901592
31.775196, C00, 0.008690268
31.825157, C00, 0.008920379
31.875118, C00, 0.007231116
31.925079, C00, 0.00737536
32.025001, C00, 0.008026153
32.074962, C00, 0.01037519
32.124923, C00, 0.006556593
32.174884, C00, 0.005488582
32.224845, C00, 0.01072535
32.274806, C00, 0.007779546
32.324767, C00, 0.005480997
32.374728, C00, 0.013316
32.424689, C00, 0.007107645
32.47465, C00, 0.006943583
32.524611, C00, 0.008225471
32.574572, C00, 0.01101491
32.624533, C00, 0.007516727
32.674494, C00, 0.01182601
32.724455, C00, 0.009213731
32.774416, C00, 0.01119539
32.824377, C00, 0.008951142
32.874338, C00, 0.01173756
32.924299, C00, 0.009857848
32.97426, C00, 0.007222801
33.024221, C00, 0.01282714
33.074182, C00, 0.01477678
33.124143, C00, 0.006988376
33.174104, C00, 0.009627625
33.224065, C00, 0.02032337
33.274026, C00, 0.01186119
33.373948, C00, 0.008124352
33.423909, C00, 0.01427269
33.47387, C00, 0.01308508
33.523831, C00, 0.006463841
33.573792, C00, 0.01058851
33.623753, C00, 0.01638216
33.673714, C00, 0.01332211
33.723675, C00, 0.01194011
33.773636, C00, 0.006869301
33.823597, C00, 0.01333736
33.873558, C00, 0.01209471
33.923519, C00, 0.01370519
34.023441, C00, 0.01087296
34.073402, C00, 0.01688978
34.123363, C00, 0.01553634
34.173324, C00, 0.01468699
34.223285, C00, 0.01301168
34.273246, C00, 0.009005755
34.323207, C00, 0.01005146
34.373168, C00, 0.01614299
34.423129, C00, 0.01489215
34.47309, C00, 0.01478523
34.523051, C00, 0.01647004
34.573012, C00, 0.01719156
34.622973, C00, 0.01345932
34.672934, C00, 0.009177744
34.722895, C00, 0.01413277
