Time (s), Cell Name, Value
3.047621, C00, 0.04963888
3.297426, C00, 0.04195775
3.397348, C00, 0.03988577
3.49727, C00, 0.07273954
3.547231, C00, 0.0449844
3.647153, C00, 0.0392077
3.846997, C00, 0.07973221
3.896958, C00, 0.03846616
3.99688, C00, 0.04602882
4.046841, C00, 0.04561636
4.096802, C00, 0.05445924
5.046061, C00, 0.05874532
5.745515, C00, 0.04136422
6.644813, C00, 0.04306246
7.244345, C00, 0.04568279
7.294306, C00, 0.04939011
7.344267, C00, 0.05284053
7.394228, C00, 0.05236721
7.444189, C00, 0.04581884
7.544111, C00, 0.03635576
7.594072, C00, 0.06339988
7.793916, C00, 0.03773886
7.843877, C00, 0.05993888
7.893838, C00, 0.0943948
7.943799, C00, 0.04274988
8.043721, C00, 0.04048979
8.843097, C00, 0.04760206
9.292745999999999, C00, 0.04296482
9.342707000000001, C00, 0.0669564
9.392668, C00, 0.06809953
9.442629, C00, 0.05811852
9.49259, C00, 0.05876499
9.542551, C00, 0.05375415
9.592511999999999, C00, 0.06086022
9.642473000000001, C00, 0.04540801
9.692434, C00, 0.05825287
9.742395, C00, 0.06570011
9.792356, C00, 0.04822129
9.842317, C00, 0.06235772
9.892277999999999, C00, 0.06468791
9.942239000000001, C00, 0.06043869
9.9922, C00, 0.05261898
10.092122, C00, 0.07930243
10.142083, C00, 0.04843491
10.192044, C00, 0.05494386
10.242005, C00, 0.05600798
10.291966, C00, 0.1006241
10.341927, C00, 0.09484267
10.541771, C00, 0.1456283
10.591732, C00, 0.08914387
10.641693, C00, 0.05029845
10.741615, C00, 0.03921938
11.341147, C00, 0.0323984
11.441069, C00, 0.03624183
11.840757, C00, 0.0715034
11.890718, C00, 0.09596026
11.940679, C00, 0.0379349
11.99064, C00, 0.03622895
12.040601, C00, 0.03311568
12.839977, C00, 0.05156717
13.689314, C00, 0.03392911
14.688534, C00, 0.0439555
14.788456, C00, 0.03624076
15.48791, C00, 0.03427336
16.237325, C00, 0.05955985
16.287286, C00, 0.03536645
16.337247, C00, 0.03385383
16.437169, C00, 0.05728897
16.48713, C00, 0.04669526
16.537091, C00, 0.04157642
16.587052, C00, 0.03290915
16.637013, C00, 0.06766194
16.686974, C00, 0.05179521
16.736935, C00, 0.05129635
16.786896, C00, 0.06336075
16.836857, C00, 0.03530234
16.886818, C00, 0.04435402
16.936779, C00, 0.03936607
16.98674, C00, 0.08318996
17.086662, C00, 0.06839532
17.136623, C00, 0.04214215
17.236545, C00, 0.06512678
17.286506, C00, 0.07172936
17.336467, C00, 0.05343145
17.386428, C00, 0.06451356
17.48635, C00, 0.05071229
17.586272, C00, 0.03490561
18.335687, C00, 0.0378105
18.385648, C00, 0.0366146
19.185024, C00, 0.04361671
19.584712, C00, 0.05166575
19.934439, C00, 0.03286231
20.733815, C00, 0.03588857
21.233425, C00, 0.03623323
21.733035, C00, 0.06534629
21.782996, C00, 0.03671694
21.882918, C00, 0.05197394
