Time (s), Cell Name, Value
0.049961, C00, 0.04393351
0.099922, C00, 0.06425416
0.149883, C00, 0.04415464
0.199844, C00, 0.06733012
0.249805, C00, 0.05308783
0.299766, C00, 0.05707061
0.349727, C00, 0.0444479
0.399688, C00, 0.05052567
0.449649, C00, 0.06065321
0.49961, C00, 0.03978193
0.549571, C00, 0.0518508
0.599532, C00, 0.05412948
0.649493, C00, 0.03586411
0.699454, C00, 0.05597305
0.7494150000000001, C00, 0.05853057
0.799376, C00, 0.03040123
0.849337, C00, 0.04769742
0.899298, C00, 0.03497779
0.949259, C00, 0.06064415
0.99922, C00, 0.03828585
1.049181, C00, 0.03897154
1.099142, C00, 0.03943157
1.149103, C00, 0.05527771
1.199064, C00, 0.03835952
1.249025, C00, 0.04636693
1.298986, C00, 0.03935993
1.348947, C00, 0.0393312
1.398908, C00, 0.03890145
1.448869, C00, 0.03802156
1.49883, C00, 0.04701018
1.548791, C00, 0.02794766
1.598752, C00, 0.04250884
1.648713, C00, 0.04278255
1.698674, C00, 0.04616499
1.748635, C00, 0.0371592
1.798596, C00, 0.04521418
1.848557, C00, 0.02070785
1.898518, C00, 0.04379117
1.948479, C00, 0.05822468
1.99844, C00, 0.03467262
2.048401, C00, 0.03880799
2.098362, C00, 0.03158784
2.148323, C00, 0.03638363
2.198284, C00, 0.04445624
2.248245, C00, 0.03470576
2.298206, C00, 0.03142643
2.348167, C00, 0.0276612
2.398128, C00, 0.0523234
2.448089, C00, 0.03371304
2.49805, C00, 0.03181916
2.548011, C00, 0.03523898
2.597972, C00, 0.03692031
2.647933, C00, 0.02884853
2.697894, C00, 0.04347527
2.747855, C00, 0.01982683
2.797816, C00, 0.04263645
2.847777, C00, 0.02973932
2.897738, C00, 0.02795494
2.947699, C00, 0.03102487
2.99766, C00, 0.02539253
3.047621, C00, 0.03521156
3.097582, C00, 0.03810227
3.147543, C00, 0.03045875
3.197504, C00, 0.02129471
3.297426, C00, 0.0422734
3.347387, C00, 0.04133093
3.397348, C00, 0.02933329
3.447309, C00, 0.03156924
3.49727, C00, 0.02816403
3.547231, C00, 0.04451144
3.597192, C00, 0.0243454
3.647153, C00, 0.02812147
3.697114, C00, 0.02428603
3.747075, C00, 0.0206641
3.797036, C00, 0.03055465
3.896958, C00, 0.02989054
3.946919, C00, 0.04065412
4.046841, C00, 0.02806056
4.096802, C00, 0.0283283
4.146763, C00, 0.02405959
4.196724, C00, 0.02041793
4.246685, C00, 0.02916878
4.296646, C00, 0.02050328
4.346607, C00, 0.02855694
4.396568, C00, 0.03155988
4.49649, C00, 0.0269376
4.546451, C00, 0.03197509
4.596412, C00, 0.02088833
4.696334, C00, 0.03074527
4.746295, C00, 0.02578574
4.846217, C00, 0.02093071
4.896178, C00, 0.0293715
4.946139, C00, 0.01873475
4.9961, C00, 0.0308466
5.096022, C00, 0.01874709
5.145983, C00, 0.02810287
5.295866, C00, 0.0337745
5.345827, C00, 0.0215643
5.445749, C00, 0.02710897
5.49571, C00, 0.02696681
5.545671, C00, 0.01883906
5.595632, C00, 0.02035069
5.695554, C00, 0.02085638
5.745515, C00, 0.01988947
5.795476, C00, 0.0188691
5.895398, C00, 0.0232805
6.045281, C00, 0.02852172
6.245125, C00, 0.02559665
6.295086, C00, 0.02123213
6.395008, C00, 0.02492589
6.644813, C00, 0.02331308
6.744735, C00, 0.02538463
6.844657, C00, 0.02363342
6.99454, C00, 0.02237764
7.144423, C00, 0.02082816
7.544111, C00, 0.02013621
7.743955, C00, 0.01875493
7.843877, C00, 0.02221584
7.943799, C00, 0.0209471
10.391888, C00, 0.01935345
11.341147, C00, 0.02518262
15.387988, C00, 0.01892945
19.684634, C00, 0.02925659
19.734595, C00, 0.0239258
19.784556, C00, 0.03856614
19.834517, C00, 0.02828634
19.884478, C00, 0.02707885
19.934439, C00, 0.03062229
19.9844, C00, 0.03129636
20.034361, C00, 0.03183714
20.084322, C00, 0.0372054
20.184244, C00, 0.02562666
20.234205, C00, 0.03849801
20.284166, C00, 0.04021558
20.334127, C00, 0.04623166
20.384088, C00, 0.05364913
20.434049, C00, 0.04090512
20.48401, C00, 0.04961351
20.533971, C00, 0.04067782
20.583932, C00, 0.02469495
20.633893, C00, 0.03227115
20.683854, C00, 0.05289045
20.733815, C00, 0.05291688
20.783776, C00, 0.06427938
20.833737, C00, 0.06180489
20.883698, C00, 0.05868268
20.933659, C00, 0.0676232
20.98362, C00, 0.05684352
21.033581, C00, 0.0694592
21.083542, C00, 0.05793309
21.133503, C00, 0.08254772
21.183464, C00, 0.04947609
21.233425, C00, 0.05281037
21.283386, C00, 0.06360871
21.333347, C00, 0.08294898
21.383308, C00, 0.07657456
21.433269, C00, 0.06838816
21.48323, C00, 0.06841952
21.533191, C00, 0.06926447
21.583152, C00, 0.05081701
21.633113, C00, 0.05744731
21.683074, C00, 0.04239964
21.733035, C00, 0.06102359
21.782996, C00, 0.06079316
21.832957, C00, 0.0692662
21.882918, C00, 0.03939605
21.932879, C00, 0.04963756
21.98284, C00, 0.05338562
22.032801, C00, 0.05364907
22.082762, C00, 0.04300141
22.132723, C00, 0.06161451
22.182684, C00, 0.0620203
22.232645, C00, 0.07458746
22.282606, C00, 0.06937993
22.332567, C00, 0.08478248
22.382528, C00, 0.07651222
22.432489, C00, 0.08402491
22.48245, C00, 0.09041381
22.532411, C00, 0.06602275
22.582372, C00, 0.07747328
22.632333, C00, 0.07218874
22.682294, C00, 0.04946041
22.732255, C00, 0.05153644
22.782216, C00, 0.06344557
22.832177, C00, 0.06228149
22.882138, C00, 0.04761887
22.932099, C00, 0.04935753
22.98206, C00, 0.03613329
23.032021, C00, 0.04763162
23.081982, C00, 0.0426116
23.131943, C00, 0.04648733
23.181904, C00, 0.05728197
23.231865, C00, 0.04497695
23.281826, C00, 0.05032086
23.331787, C00, 0.03780651
23.381748, C00, 0.05033743
23.431709, C00, 0.07525182
23.48167, C00, 0.1028721
23.531631, C00, 0.03283834
23.581592, C00, 0.05960214
23.631553, C00, 0.04278839
23.681514, C00, 0.0585115
23.731475, C00, 0.0382123
23.781436, C00, 0.03737807
23.831397, C00, 0.04966152
23.881358, C00, 0.04509044
23.931319, C00, 0.0339061
23.98128, C00, 0.05728936
24.031241, C00, 0.02496397
24.081202, C00, 0.05883539
24.131163, C00, 0.0378176
24.181124, C00, 0.04048371
24.231085, C00, 0.04501653
24.281046, C00, 0.03368914
24.331007, C00, 0.0461247
24.380968, C00, 0.04552853
24.430929, C00, 0.04476035
24.48089, C00, 0.06783891
24.530851, C00, 0.04693508
24.580812, C00, 0.02714932
24.630773, C00, 0.04157829
24.680734, C00, 0.04854167
24.730695, C00, 0.0451144
24.780656, C00, 0.06556475
24.830617, C00, 0.05842364
24.880578, C00, 0.0722388
24.930539, C00, 0.09866834
24.9805, C00, 0.08861566
25.030461, C00, 0.09102106
25.080422, C00, 0.08895242
25.130383, C00, 0.09249103
25.180344, C00, 0.09687734
25.230305, C00, 0.08305109
25.280266, C00, 0.1065803
25.330227, C00, 0.1040548
25.380188, C00, 0.07612622
25.430149, C00, 0.1025798
25.48011, C00, 0.07115591
25.530071, C00, 0.05711973
25.580032, C00, 0.06362987
25.629993, C00, 0.06166923
25.679954, C00, 0.04430592
25.729915, C00, 0.04243398
25.779876, C00, 0.05667424
25.829837, C00, 0.04047012
25.879798, C00, 0.06567824
25.929759, C00, 0.05733383
25.97972, C00, 0.05636823
26.029681, C00, 0.04732919
26.129603, C00, 0.09752536
26.179564, C00, 0.07411611
26.229525, C00, 0.05398715
26.279486, C00, 0.04425359
26.329447, C00, 0.06637144
26.379408, C00, 0.02528727
26.429369, C00, 0.06145763
26.47933, C00, 0.04414594
26.529291, C00, 0.05311036
26.579252, C00, 0.03643608
26.629213, C00, 0.03734195
26.679174, C00, 0.04466891
26.729135, C00, 0.05867577
26.779096, C00, 0.03128695
26.829057, C00, 0.04551005
26.879018, C00, 0.03309703
26.928979, C00, 0.05954456
26.97894, C00, 0.03293037
27.028901, C00, 0.05251658
27.078862, C00, 0.03857148
27.128823, C00, 0.04796803
27.178784, C00, 0.03162467
27.228745, C00, 0.04485631
27.278706, C00, 0.03739488
27.328667, C00, 0.04901755
27.378628, C00, 0.0366807
27.428589, C00, 0.03054643
27.47855, C00, 0.04164791
27.528511, C00, 0.03791821
27.578472, C00, 0.04895639
27.628433, C00, 0.04419684
27.678394, C00, 0.03710377
27.728355, C00, 0.05633247
27.778316, C00, 0.0422852
27.828277, C00, 0.0359776
27.878238, C00, 0.04202342
27.928199, C00, 0.03537428
27.97816, C00, 0.04942727
28.028121, C00, 0.04391468
28.078082, C00, 0.03104663
28.128043, C00, 0.02694476
28.178004, C00, 0.04748237
28.227965, C00, 0.02296001
28.277926, C00, 0.03674495
28.327887, C00, 0.03212905
28.377848, C00, 0.03921163
28.427809, C00, 0.04826617
28.47777, C00, 0.02927667
28.527731, C00, 0.03007674
28.577692, C00, 0.02493143
28.627653, C00, 0.04128152
28.677614, C00, 0.02781403
28.727575, C00, 0.02805072
28.777536, C00, 0.03677428
28.827497, C00, 0.03130311
28.877458, C00, 0.02547038
28.927419, C00, 0.02979684
28.97738, C00, 0.02163452
29.027341, C00, 0.02042103
29.077302, C00, 0.04241055
29.127263, C00, 0.02895355
29.177224, C00, 0.03698254
29.227185, C00, 0.02609605
29.277146, C00, 0.02048212
29.327107, C00, 0.03439647
29.377068, C00, 0.03136367
29.427029, C00, 0.02427924
29.47699, C00, 0.02831286
29.526951, C00, 0.03462553
29.576912, C00, 0.03854322
29.676834, C00, 0.02773422
29.726795, C00, 0.02561897
29.776756, C00, 0.02373987
29.826717, C00, 0.03634709
29.9766, C00, 0.02774441
30.026561, C00, 0.02987891
30.076522, C00, 0.02369815
30.126483, C00, 0.0193308
30.176444, C00, 0.03152806
30.226405, C00, 0.02722561
30.276366, C00, 0.02425504
30.326327, C00, 0.02063614
30.376288, C00, 0.02466393
30.47621, C00, 0.01986134
30.526171, C00, 0.02679431
30.576132, C00, 0.02484804
30.626093, C00, 0.03416806
30.676054, C00, 0.02089965
30.726015, C00, 0.03882986
30.775976, C00, 0.02478915
30.97582, C00, 0.02469242
31.075742, C00, 0.03041029
31.125703, C00, 0.02216762
31.175664, C00, 0.0191102
31.225625, C00, 0.01975703
31.275586, C00, 0.02298474
31.325547, C00, 0.02005613
31.375508, C00, 0.0220421
31.425469, C00, 0.0251627
31.625313, C00, 0.0238741
31.675274, C00, 0.03092623
31.825157, C00, 0.0251599
31.925079, C00, 0.028992
31.97504, C00, 0.02369958
32.124923, C00, 0.02993512
32.274806, C00, 0.02172831
32.374728, C00, 0.019328
32.424689, C00, 0.02106911
32.524611, C00, 0.02382088
32.774416, C00, 0.0331566
32.97426, C00, 0.02628827
33.124143, C00, 0.02466202
33.274026, C00, 0.01905477
