 , C0, C1, C2, C3,,segment,starting frame ,time
Time(s)/Cell Status, accepted, accepted, accepted, accepted,,0,0,0
0,0,0,0,0,,1,6335,438.126
0.049961,0,0,0.003033264,0.009097308,,2,24352,1416.527
0.099922,0,0,0.002895139,0.008669302,,A,24385,1418.175713
0.149883,0,0,0.002763307,0.008261427,,,,
0.199844,2.33E-10,0,0.002637476,0.02928665,,,,
0.249805,2.33E-10,0,0.002517376,0.02790876,,,,
0.299766,1.16E-10,0,0.002402743,0.03349754,,,,
0.349727,1.16E-10,0,0.002293332,0.03661691,,,,
0.399688,1.16E-10,1.86E-09,0.002188904,0.03489415,,,,
0.449649,0,0,0.00208923,0.03325244,,,,
0.49961,0,1.86E-09,0.001994095,0.04877245,,,,
0.549571,0,1.86E-09,0.001903292,0.04956293,,,,
0.599532,0,1.86E-09,0.001816624,0.04723107,,,,
0.649493,0,2.79E-09,0.006849957,0.06013804,,,,
0.699454,0,2.79E-09,0.006538038,0.05730864,,,,
0.749415,0,2.79E-09,0.006240323,0.05684546,,,,
0.799376,1.16E-10,2.79E-09,0.005956165,0.05417098,,,,
0.849337,0,2.79E-09,0.01311293,0.05162232,,,,
0.899298,1.16E-10,1.86E-09,0.01512383,0.05648644,,,,
0.949259,0,1.86E-09,0.01443516,0.05382885,,,,
0.99922,0,1.86E-09,0.01577154,0.05872863,,,,
1.049181,0,9.31E-10,0.01505337,0.05596555,,,,
1.099142,5.82E-11,1.86E-09,0.0143679,0.06755614,,,,
1.149103,0,1.86E-09,0.01580724,0.06437774,,,,
1.199064,0,1.86E-09,0.01851776,0.06134888,,,,
1.249025,0,1.86E-09,0.01767454,0.05846252,,,,
1.298986,0,1.86E-09,0.01686971,0.05571195,,,,
1.348947,0,9.31E-10,0.01610153,0.0530908,,,,
1.398908,0,1.86E-09,0.01536833,0.06082033,,,,
1.448869,-5.82E-11,1.86E-09,0.01466852,0.06212264,,,,
1.49883,-5.82E-11,2.33E-09,0.01400058,0.05919987,,,,
1.548791,-5.82E-11,0.002839339,0.01336305,0.05641462,,,,
1.598752,0,0.004270502,0.01275455,0.05376041,,,,
1.648713,0,0.004085009,0.01217376,0.05123107,,,,
1.698674,0,0.003907572,0.01161942,0.04882073,,,,
1.748635,0,0.003737843,0.01109032,0.0465238,,,,
1.798596,0,0.003575486,0.01058531,0.04433493,,,,
1.848557,2.91E-11,0.003420181,0.01700202,0.04224905,,,,
1.898518,2.91E-11,0.003271622,0.01622782,0.04771273,,,,
1.948479,2.91E-11,0.003129516,0.01548887,0.05689737,,,,
1.99844,0,0.005282609,0.02149086,0.05422045,,,,
2.048401,0,0.005053154,0.02051226,0.05166947,,,,
2.098362,0,0.004833665,0.01957821,0.04923851,,,,
2.148323,0,0.00462371,0.0186867,0.04692192,,,,
2.198284,0,0.004422874,0.02280289,0.04471432,,,,
2.248245,0,0.004230763,0.02176454,0.04261059,,,,
2.298206,-2.91E-11,0.004046995,0.02077347,0.04060583,,,,
2.348167,-2.91E-11,0.00387121,0.01982753,0.05807373,,,,
2.398128,-2.91E-11,0.00370306,0.01892467,0.05534145,,,,
2.448089,-2.91E-11,0.004389259,0.02408791,0.05273773,,,,
2.49805,-2.91E-11,0.005650071,0.02299104,0.05025651,,,,
2.548011,-2.91E-11,0.005404655,0.02692019,0.04789203,,,,
2.597972,-2.91E-11,0.005169898,0.02569435,0.04563878,,,,
2.647933,-2.91E-11,0.004945339,0.02452433,0.04349156,,,,
2.697894,-1.46E-11,0.004730533,0.0234076,0.04144536,,,,
2.747855,-2.91E-11,0.004525058,0.02234171,0.03949542,,,,
2.797816,-2.91E-11,0.004328507,0.02132436,0.03763723,,,,
2.847777,-1.46E-11,0.004140494,0.02035334,0.03586646,,,,
2.897738,-1.46E-11,0.003960648,0.01942653,0.034179,,,,
2.947699,0,0.00693412,0.01854192,0.03257094,,,,
2.99766,0,0.006760154,0.0176976,0.03103853,,,,
