Time (s), Cell Name, Value
27.328667, C00, 0.04204209
27.378628, C00, 0.03400443
27.628433, C00, 0.05138613
27.678394, C00, 0.03998122
27.728355, C00, 0.02547392
27.778316, C00, 0.02875796
27.828277, C00, 0.02523974
27.878238, C00, 0.09489812
27.928199, C00, 0.05848983
27.97816, C00, 0.08017719
28.028121, C00, 0.04103157
28.078082, C00, 0.03820553
28.128043, C00, 0.09476691
28.178004, C00, 0.07375032
28.227965, C00, 0.04558122
28.277926, C00, 0.04666984
28.327887, C00, 0.05168831
28.377848, C00, 0.1152921
28.427809, C00, 0.02446556
28.47777, C00, 0.07775342
28.577692, C00, 0.07440686
28.677614, C00, 0.02027398
28.727575, C00, 0.05655581
28.777536, C00, 0.04336011
28.827497, C00, 0.1016278
28.877458, C00, 0.05757999
28.927419, C00, 0.0251959
28.97738, C00, 0.03650039
29.027341, C00, 0.1153891
29.077302, C00, 0.08670247
29.127263, C00, 0.0284487
29.177224, C00, 0.06886983
29.227185, C00, 0.08526593
29.277146, C00, 0.08939099
29.327107, C00, 0.1139333
29.427029, C00, 0.0983057
29.47699, C00, 0.04268551
29.526951, C00, 0.03385925
29.576912, C00, 0.03933775
29.626873, C00, 0.02264667
29.776756, C00, 0.07435191
29.826717, C00, 0.08491313
29.876678, C00, 0.1008109
29.926639, C00, 0.08274436
29.9766, C00, 0.08865488
30.026561, C00, 0.05561769
30.076522, C00, 0.06126285
30.126483, C00, 0.06236422
30.176444, C00, 0.07492363
30.226405, C00, 0.06598437
30.276366, C00, 0.02443254
30.326327, C00, 0.076949
30.376288, C00, 0.103151
30.426249, C00, 0.0806601
30.47621, C00, 0.0932982
30.526171, C00, 0.06967258
30.576132, C00, 0.06684315
30.626093, C00, 0.09208202
30.676054, C00, 0.02565598
30.726015, C00, 0.07514012
30.775976, C00, 0.160726
30.925859, C00, 0.07074535
30.97582, C00, 0.07193315
31.025781, C00, 0.1061118
31.075742, C00, 0.04234648
31.175664, C00, 0.04948509
31.225625, C00, 0.02645195
31.275586, C00, 0.02727711
31.325547, C00, 0.02218282
31.375508, C00, 0.04923284
31.425469, C00, 0.03474915
31.525391, C00, 0.05325651
31.575352, C00, 0.01918948
31.625313, C00, 0.07244849
31.675274, C00, 0.06369209
31.725235, C00, 0.04960036
31.825157, C00, 0.04321611
