Time (s), Cell Name, Value
0.049961, C00, 0.01885796
0.149883, C00, 0.02756733
0.249805, C00, 0.01940656
0.49961, C00, 0.0220426
0.649493, C00, 0.01829478
0.799376, C00, 0.02103096
1.099142, C00, 0.02131882
1.298986, C00, 0.01945561
1.49883, C00, 0.02108559
1.848557, C00, 0.02354971
1.948479, C00, 0.03225684
1.99844, C00, 0.04772407
2.048401, C00, 0.03969109
2.098362, C00, 0.04125178
2.148323, C00, 0.04384458
2.198284, C00, 0.04734969
2.248245, C00, 0.04186907
2.298206, C00, 0.04414034
2.348167, C00, 0.03699756
2.398128, C00, 0.04315162
2.448089, C00, 0.035918
2.49805, C00, 0.03534448
2.548011, C00, 0.03575349
2.597972, C00, 0.04820955
2.647933, C00, 0.02109331
2.697894, C00, 0.03176135
2.797816, C00, 0.01935476
2.847777, C00, 0.02420664
2.897738, C00, 0.01798183
2.99766, C00, 0.01729918
3.047621, C00, 0.02004212
3.147543, C00, 0.02515876
3.247465, C00, 0.02303779
3.297426, C00, 0.01972187
3.397348, C00, 0.02373409
3.647153, C00, 0.01923767
3.747075, C00, 0.01764327
3.797036, C00, 0.02781698
3.946919, C00, 0.02374801
4.046841, C00, 0.01760244
4.746295, C00, 0.0198625
4.946139, C00, 0.01740947
5.096022, C00, 0.02309549
5.545671, C00, 0.01796761
5.795476, C00, 0.01927087
6.045281, C00, 0.02793446
6.095242, C00, 0.04603311
6.145203, C00, 0.03390798
6.195164, C00, 0.03113914
6.245125, C00, 0.03054464
6.295086, C00, 0.03407463
6.345047, C00, 0.04731646
6.395008, C00, 0.03502706
6.444969, C00, 0.03951254
6.49493, C00, 0.02840209
6.544891, C00, 0.0459522
6.594852, C00, 0.04396805
6.644813, C00, 0.0269261
6.694774, C00, 0.04984832
6.744735, C00, 0.04120106
6.794696, C00, 0.04562455
6.844657, C00, 0.0409677
6.894618, C00, 0.02809572
6.99454, C00, 0.01875693
7.094462, C00, 0.01883739
7.144423, C00, 0.02115029
7.194384, C00, 0.02105963
7.294306, C00, 0.02427316
7.344267, C00, 0.02225584
7.594072, C00, 0.02081347
7.793916, C00, 0.01777488
7.893838, C00, 0.03088501
8.043721, C00, 0.02296385
8.543331, C00, 0.01863587
8.643253, C00, 0.01755366
8.743175000000001, C00, 0.02119276
10.192044, C00, 0.01743636
10.541771, C00, 0.01876092
13.839197, C00, 0.02142894
13.939119, C00, 0.02404213
13.98908, C00, 0.02546179
14.039041, C00, 0.02343945
14.089002, C00, 0.02289614
14.138963, C00, 0.02363601
14.188924, C00, 0.02520648
14.238885, C00, 0.03086041
14.288846, C00, 0.02393636
14.338807, C00, 0.02781433
14.388768, C00, 0.03292802
14.438729, C00, 0.02847236
14.48869, C00, 0.03226727
14.538651, C00, 0.03026611
14.588612, C00, 0.03504816
14.638573, C00, 0.03144392
14.688534, C00, 0.0299862
14.738495, C00, 0.02946573
15.088222, C00, 0.01897243
15.537871, C00, 0.02017665
15.887598, C00, 0.02111822
16.587052, C00, 0.01892313
18.585492, C00, 0.02251498
18.635453, C00, 0.03176117
18.685414, C00, 0.03914589
18.735375, C00, 0.03007458
18.785336, C00, 0.03385401
18.835297, C00, 0.0346722
18.885258, C00, 0.03525129
18.935219, C00, 0.02961779
18.98518, C00, 0.03628469
19.035141, C00, 0.03186753
19.085102, C00, 0.0245263
20.933659, C00, 0.01995133
21.98284, C00, 0.02259614
22.032801, C00, 0.03829588
22.082762, C00, 0.03896363
22.132723, C00, 0.03020179
22.182684, C00, 0.03371248
22.232645, C00, 0.03362426
22.282606, C00, 0.03986365
22.332567, C00, 0.03252578
22.382528, C00, 0.03536081
22.432489, C00, 0.03251457
22.48245, C00, 0.03654921
22.532411, C00, 0.0385775
22.582372, C00, 0.0419662
22.632333, C00, 0.03040931
22.682294, C00, 0.03304571
23.431709, C00, 0.01790729
24.031241, C00, 0.01822838
24.181124, C00, 0.01761469
24.331007, C00, 0.02062774
26.179564, C00, 0.01902923
27.428589, C00, 0.01767376
27.47855, C00, 0.02551822
27.528511, C00, 0.03385919
27.578472, C00, 0.0198171
27.628433, C00, 0.02829242
27.678394, C00, 0.03323087
27.728355, C00, 0.02098531
27.778316, C00, 0.0263761
27.828277, C00, 0.03184354
27.878238, C00, 0.03186613
27.928199, C00, 0.03306252
27.97816, C00, 0.03800121
28.028121, C00, 0.03099754
28.078082, C00, 0.03170723
28.128043, C00, 0.01911047
28.277926, C00, 0.02010536
28.727575, C00, 0.01889092
29.027341, C00, 0.01824567
29.127263, C00, 0.02029505
29.47699, C00, 0.03208062
29.526951, C00, 0.03146011
29.576912, C00, 0.03889239
29.626873, C00, 0.03949389
29.676834, C00, 0.03636897
29.726795, C00, 0.0480783
29.776756, C00, 0.03340739
29.826717, C00, 0.03918061
29.876678, C00, 0.03580111
29.926639, C00, 0.03734052
29.9766, C00, 0.04995799
30.026561, C00, 0.03329635
30.076522, C00, 0.04282784
30.126483, C00, 0.03356653
30.176444, C00, 0.03980553
30.226405, C00, 0.04059583
30.276366, C00, 0.03977728
30.326327, C00, 0.04019779
30.376288, C00, 0.0467878
30.426249, C00, 0.04290217
30.47621, C00, 0.04369074
30.526171, C00, 0.04817688
30.576132, C00, 0.04230559
30.626093, C00, 0.03538501
30.676054, C00, 0.0425685
30.726015, C00, 0.03641373
30.775976, C00, 0.03302544
30.825937, C00, 0.03518844
30.925859, C00, 0.02186561
30.97582, C00, 0.02750772
31.025781, C00, 0.01758784
31.075742, C00, 0.02107733
31.125703, C00, 0.02736568
31.175664, C00, 0.0193224
31.225625, C00, 0.02506793
31.275586, C00, 0.02420628
31.325547, C00, 0.02443337
31.375508, C00, 0.0192337
31.47543, C00, 0.02411699
