Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0,ActiveSegment1,ActiveSegment2
C00,accepted,244,44,82,117,64,1,12.7279,1,1,1
C01,accepted,221,168,36,88,189,1,13.9284,1,1,1
C02,accepted,0,188,165,240,130,1,11.7047,1,1,1
C03,accepted,174,149,249,31,55,1,15.1327,1,1,1
C04,accepted,249,67,158,261,64,1,11.4018,1,1,1
C05,accepted,135,198,53,122,138,1,13.0384,1,1,1
C06,accepted,156,173,255,135,109,1,9.48683,1,1,1
C07,accepted,234,104,209,178,88,1,13.6015,1,1,1
C08,accepted,249,237,50,133,92,1,13.1529,1,1,1
C09,accepted,38,170,225,90,147,1,12.3693,1,1,1
C10,accepted,244,44,82,133,184,1,10,1,1,1
C11,accepted,221,168,36,108,133,1,11.4018,1,1,1
C12,accepted,0,188,165,158,116,1,11.7047,1,1,1
C13,accepted,174,149,249,112,20,1,11.1803,1,1,1
C14,accepted,249,67,158,96,116,1,14.3178,1,1,1
C15,accepted,135,198,53,228,111,1,14.2127,1,1,1
C16,accepted,156,173,255,81,124,1,13.1529,1,1,1
C17,accepted,234,104,209,231,56,1,8.94427,1,1,1
C18,accepted,249,237,50,57,158,1,9.05539,1,1,1
C19,accepted,38,170,225,198,120,1,9.84886,1,1,1
C20,accepted,244,44,82,143,78,1,11.7047,1,1,1
C21,accepted,221,168,36,102,55,1,14.3178,1,1,1
C22,accepted,0,188,165,65,45,1,12.8062,1,1,1
C23,accepted,174,149,249,72,142,1,13.1529,1,1,1
C24,accepted,249,67,158,72,95,1,13.0384,1,1,1
C25,accepted,135,198,53,162,167,1,10.4403,1,1,1
C26,accepted,156,173,255,120,53,1,7,1,1,1
C27,accepted,234,104,209,168,84,1,13.6015,1,1,1
C28,accepted,249,237,50,199,90,1,11,1,1,1
C29,accepted,38,170,225,219,38,1,13.0384,1,1,1
