Time,Centre position X,Centre position Y,A active,S active
0.000,,,0,0
0.318,435,178,0,0
0.418,88,354,0,0
0.518,88,353,0,0
0.618,88,354,0,0
0.718,89,353,0,0
0.818,88,354,0,0
0.902,88,354,1,0
0.918,89,354,1,0
1.018,89,353,1,0
1.118,89,353,1,0
1.218,88,353,1,0
1.318,89,354,1,0
1.585,89,353,1,0
1.685,88,351,1,0
1.701,88,351,0,0
1.851,97,351,0,0
2.118,99,352,0,0
2.285,101,350,0,0
5.018,119,235,0,0
5.118,124,239,0,0
5.218,135,240,0,0
5.318,130,240,0,0
5.418,129,241,0,0
5.518,119,243,0,0
5.618,114,243,0,0
5.622,114,243,0,1
5.718,118,243,0,1
5.818,123,242,0,1
5.918,118,240,0,1
6.018,113,238,0,1
6.118,110,238,0,1
6.218,114,238,0,1
6.318,115,238,0,1
6.342,115,238,0,0
6.418,111,240,0,0
6.518,117,240,0,0
6.618,124,241,0,0
6.718,129,242,0,0
6.818,127,243,0,0
6.917,127,243,0,1
6.918,129,240,0,1
7.018,129,240,0,1
7.118,132,240,0,1
7.318,132,240,0,0
9.985,132,118,0,0
10.085,157,106,0,0
10.218,142,104,0,0
10.318,139,104,0,0
10.418,153,102,0,0
10.518,162,107,0,0
10.618,164,106,0,0
10.718,166,107,0,0
10.818,168,105,0,0
10.918,165,107,0,0
11.018,160,112,0,0
11.078,160,112,0,1
11.118,154,118,0,1
11.218,144,121,0,1
11.318,141,124,0,1
11.333,141,124,0,0
11.418,133,131,0,0
11.518,129,128,0,0
11.618,124,128,0,0
11.718,119,130,0,0
11.818,120,130,0,0
11.918,118,135,0,0
12.018,116,134,0,0
12.118,113,133,0,0
12.218,109,145,0,0
12.318,109,128,0,0
12.418,112,154,0,0
12.518,119,181,0,0
12.651,129,238,0,0
12.851,137,289,0,0
14.518,326,276,0,0
14.618,327,281,0,0
14.718,325,283,0,0
14.818,328,281,0,0
14.918,326,279,0,0
15.018,344,281,0,0
15.118,363,277,0,0
15.218,371,270,0,0
15.318,357,268,0,0
15.418,366,269,0,0
15.518,366,268,0,0
15.618,364,266,0,0
15.718,361,266,0,0
15.818,365,266,0,0
15.918,369,267,0,0
16.018,374,266,0,0
16.118,388,264,0,0
16.218,397,268,0,0
16.318,412,270,0,0
16.485,436,271,0,0
16.585,426,278,0,0
16.685,420,288,0,0
16.785,429,287,0,0
16.885,421,281,0,0
16.985,441,280,0,0
17.085,452,282,0,0
17.185,446,283,0,0
17.285,457,282,0,0
17.385,479,282,0,0
17.485,492,278,0,0
17.585,503,273,0,0
17.685,504,271,0,0
17.785,502,279,0,0
17.885,490,286,0,0
17.985,478,287,0,0
18.085,469,282,0,0
18.185,469,277,0,0
18.285,477,269,0,0
18.385,482,255,0,0
18.485,475,244,0,0
18.585,468,219,0,0
18.685,465,209,0,0
18.785,470,191,0,0
18.885,476,183,0,0
18.985,476,188,0,0
19.085,474,180,0,0
19.185,479,166,0,0
19.285,487,152,0,0
19.385,492,141,0,0
19.485,501,148,0,0
19.585,504,156,0,0
19.685,501,164,0,0
19.785,496,172,0,0
19.885,501,177,0,0
19.985,508,171,0,0
20.085,481,168,0,0
20.185,455,170,0,0
20.285,424,167,0,0
22.818,365,107,0,0
22.918,374,98,0,0
23.018,381,89,0,0
23.118,389,87,0,0
23.218,394,91,0,0
23.318,402,93,0,0
23.418,422,95,0,0
23.518,437,95,0,0
23.618,446,93,0,0
23.718,458,93,0,0
23.818,450,92,0,0
23.918,439,88,0,0
24.018,443,89,0,0
24.118,447,94,0,0
25.685,288,190,0,0
25.785,292,172,0,0
25.885,287,177,0,0
25.985,282,160,0,0
26.085,285,159,0,0
26.185,278,154,0,0
27.051,180,197,0,0
27.451,153,194,0,0
27.551,154,189,0,0
27.651,145,185,0,0
27.851,130,182,0,0
28.285,138,204,0,0
28.651,147,236,0,0
30.085,462,324,0,0
30.185,467,299,0,0
30.318,475,284,0,0
30.418,469,280,0,0
30.518,466,282,0,0
30.618,466,284,0,0
30.752,451,276,0,0
33.151,343,278,0,0
33.251,344,286,0,0
33.351,358,299,0,0
33.451,378,309,0,0
33.551,391,314,0,0
33.951,350,315,0,0
34.551,357,330,0,0
34.651,359,331,0,0
34.751,361,334,0,0
34.851,369,329,0,0
34.952,402,320,0,0
35.085,431,319,0,0
35.185,454,325,0,0
35.285,468,325,0,0
35.418,464,310,0,0
39.918,264,131,0,0
40.018,230,129,0,0
40.118,199,130,0,0
40.218,181,136,0,0
40.318,193,144,0,0
40.451,205,162,0,0
40.585,216,176,0,0
40.685,205,184,0,0
40.785,189,184,0,0
40.885,161,180,0,0
40.985,123,180,0,0
41.085,118,180,0,0
41.185,124,185,0,0
41.285,143,183,0,0
41.385,147,182,0,0
41.485,147,182,0,0
41.585,150,180,0,0
41.685,169,172,0,0
41.785,180,164,0,0
41.885,193,154,0,0
41.985,207,150,0,0
42.085,214,155,0,0
42.185,214,152,0,0
43.018,327,295,0,0
43.118,338,290,0,0
43.218,344,299,0,0
43.318,340,305,0,0
43.418,341,310,0,0
43.518,342,318,0,0
43.618,347,314,0,0
43.718,349,310,0,0
43.818,347,315,0,0
43.918,340,319,0,0
44.018,340,317,0,0
44.118,341,317,0,0
44.218,342,315,0,0
44.318,342,314,0,0
44.418,345,303,0,0
44.518,345,303,0,0
44.618,344,313,0,0
44.718,348,305,0,0
48.818,179,267,0,0
48.918,183,273,0,0
49.018,183,266,0,0
49.118,183,266,0,0
49.218,180,264,0,0
49.318,183,274,0,0
49.418,180,279,0,0
49.518,168,281,0,0
49.573,168,281,0,1
49.618,136,296,0,1
49.718,124,306,0,1
49.734,124,306,0,0
49.818,138,313,0,0
50.585,142,324,0,0
50.685,128,318,0,0
50.785,119,321,0,0
50.885,131,314,0,0
50.985,115,312,0,0
51.085,123,305,0,0
51.185,117,307,0,0
51.285,111,312,0,0
51.385,118,308,0,0
51.414,118,308,0,1
51.485,122,307,0,1
51.585,122,307,0,1
51.685,118,305,0,1
51.785,116,305,0,1
51.813,116,305,0,0
52.018,107,307,0,0
52.118,108,308,0,0
52.218,102,302,0,0
52.318,117,301,0,0
52.418,115,297,0,0
52.550,115,297,0,1
52.718,216,245,0,1
52.869,216,245,0,0
54.052,484,166,0,0
54.185,512,165,0,0
54.285,519,171,0,0
54.385,515,170,0,0
54.485,512,175,0,0
54.585,497,171,0,0
54.685,507,169,0,0
54.785,516,167,0,0
54.885,520,170,0,0
54.985,520,168,0,0
55.085,517,167,0,0
55.173,517,167,0,1
55.185,518,170,0,1
55.574,518,170,0,0
55.785,473,227,0,0
56.418,527,268,0,0
56.618,529,293,0,0
58.685,539,221,0,0
58.785,539,215,0,0
58.885,541,208,0,0
58.985,541,199,0,0
59.085,543,201,0,0
59.185,541,196,0,0
59.285,536,207,0,0
59.385,530,226,0,0
59.485,531,227,0,0
59.585,533,233,0,0
59.685,531,234,0,0
59.785,524,219,0,0
59.862,524,219,0,1
59.885,519,220,0,1
59.985,513,222,0,1
60.085,506,215,0,1
60.150,506,215,0,0
60.185,499,210,0,0
60.285,491,204,0,0
60.385,479,202,0,0
62.918,553,342,0,0
63.018,566,336,0,0
63.118,557,338,0,0
64.718,351,348,0,0
64.818,342,346,0,0
64.951,332,346,0,0
65.052,326,343,0,0
65.185,322,344,0,0
65.285,301,349,0,0
65.385,298,346,0,0
65.518,270,341,0,0
65.618,272,340,0,0
65.718,290,339,0,0
68.285,258,213,0,0
69.052,340,94,0,0
69.218,345,95,0,0
69.818,357,104,0,0
69.918,370,112,0,0
70.918,373,138,0,0
71.552,281,165,0,0
72.318,189,273,0,0
72.418,181,272,0,0
72.518,173,267,0,0
72.618,169,260,0,0
72.718,163,249,0,0
72.819,164,241,0,0
72.854,164,241,0,1
73.018,152,237,0,1
73.077,152,237,0,0
73.118,148,231,0,0
73.218,148,229,0,0
74.752,117,201,0,0
75.418,128,187,0,0
75.518,125,186,0,0
75.618,121,173,0,0
75.785,113,202,0,0
77.218,156,122,0,0
79.585,510,104,0,0
79.752,506,110,0,0
79.852,499,120,0,0
79.952,498,125,0,0
80.052,498,135,0,0
80.152,504,160,0,0
80.252,508,180,0,0
83.152,289,151,0,0
85.852,132,212,0,0
85.952,113,213,0,0
86.052,98,220,0,0
86.152,104,212,0,0
88.952,543,119,0,0
92.185,78,255,0,0
92.352,71,260,0,0
92.452,74,258,0,0
92.552,79,263,0,0
92.652,84,269,0,0
92.752,89,274,0,0
92.852,100,275,0,0
93.618,120,292,0,0
93.752,123,294,0,0
94.752,105,241,0,0
94.852,102,229,0,0
94.952,95,232,0,0
95.052,96,241,0,0
95.152,100,252,0,0
95.252,100,249,0,0
95.352,106,240,0,0
95.452,116,235,0,0
95.552,111,237,0,0
95.652,106,242,0,0
95.752,126,240,0,0
95.852,134,240,0,0
95.952,127,243,0,0
96.052,128,248,0,0
96.152,124,256,0,0
96.252,121,258,0,0
96.352,120,260,0,0
96.452,120,265,0,0
96.552,118,287,0,0
96.918,123,328,0,0
97.018,129,322,0,0
97.119,126,319,0,0
97.252,116,322,0,0
97.352,119,323,0,0
97.452,121,331,0,0
99.052,232,346,0,0
99.152,238,342,0,0
99.252,240,340,0,0
99.352,249,339,0,0
99.653,249,339,0,1
99.718,275,315,0,1
99.797,275,315,0,0
99.818,272,311,0,0
99.918,260,294,0,0
100.019,257,284,0,0
100.152,255,290,0,0
100.252,251,303,0,0
100.352,252,291,0,0
100.452,256,288,0,0
100.652,272,306,0,0
100.752,282,317,0,0
100.852,287,318,0,0
100.952,293,320,0,0
101.052,293,319,0,0
101.152,289,319,0,0
101.585,255,313,0,0
101.685,238,320,0,0
101.785,229,323,0,0
101.885,223,316,0,0
101.985,222,307,0,0
102.085,221,298,0,0
102.185,217,299,0,0
102.285,210,303,0,0
102.385,207,301,0,0
102.485,207,301,0,0
102.585,215,295,0,0
102.685,218,298,0,0
102.785,225,300,0,0
102.885,234,309,0,0
102.985,241,314,0,0
103.085,228,313,0,0
103.185,215,308,0,0
103.718,208,311,0,0
104.885,283,322,0,0
108.818,135,99,0,0
108.918,135,95,0,0
114.152,172,122,0,0
114.452,238,106,0,0
114.998,238,106,0,1
115.269,238,106,0,0
115.619,257,95,0,0
115.719,261,95,0,0
119.052,293,139,0,0
120.285,271,158,0,0
120.385,260,148,0,0
120.485,263,144,0,0
120.585,264,143,0,0
122.452,278,258,0,0
122.685,277,308,0,0
122.785,277,282,0,0
122.885,280,288,0,0
124.885,422,218,0,0
124.985,433,226,0,0
125.085,448,231,0,0
125.185,450,232,0,0
125.285,462,235,0,0
125.385,466,239,0,0
125.485,477,226,0,0
125.585,480,223,0,0
125.685,489,229,0,0
125.785,488,230,0,0
125.885,485,225,0,0
125.985,485,207,0,0
126.069,485,207,0,1
126.085,460,185,0,1
126.185,449,170,0,1
126.198,449,170,0,0
126.285,437,163,0,0
126.385,431,151,0,0
126.485,418,144,0,0
126.585,412,142,0,0
126.685,410,142,0,0
126.785,414,143,0,0
126.885,416,149,0,0
127.719,445,160,0,0
127.852,448,186,0,0
127.952,435,186,0,0
128.052,416,197,0,0
128.152,407,210,0,0
128.252,394,216,0,0
128.352,387,214,0,0
128.452,400,204,0,0
128.552,400,208,0,0
128.652,395,216,0,0
128.752,389,215,0,0
128.852,381,219,0,0
128.952,372,223,0,0
129.719,231,238,0,0
138.452,452,328,0,0
138.919,89,176,0,0
139.019,90,183,0,0
139.119,94,178,0,0
139.219,107,168,0,0
139.319,119,163,0,0
141.919,472,117,0,0
142.252,484,111,0,0
144.285,503,199,0,0
144.385,501,208,0,0
144.485,505,212,0,0
144.585,508,215,0,0
144.685,511,225,0,0
144.785,511,229,0,0
144.885,512,222,0,0
144.934,512,222,0,1
144.985,511,218,0,1
145.085,510,215,0,1
145.334,510,215,0,0
151.852,380,272,0,0
151.952,371,264,0,0
152.052,362,254,0,0
152.152,352,249,0,0
152.319,353,235,0,0
152.419,348,229,0,0
152.519,334,218,0,0
152.619,323,216,0,0
152.719,303,208,0,0
152.819,284,201,0,0
152.919,271,200,0,0
153.019,255,205,0,0
153.119,254,205,0,0
153.219,255,206,0,0
153.319,253,202,0,0
153.652,177,218,0,0
154.286,159,222,0,0
154.419,170,219,0,0
154.519,176,211,0,0
154.619,169,218,0,0
154.752,161,229,0,0
155.085,140,252,0,0
157.819,364,288,0,0
158.286,212,292,0,0
158.386,224,297,0,0
158.486,219,298,0,0
158.619,219,298,0,0
158.719,223,302,0,0
158.819,219,301,0,0
158.919,214,293,0,0
159.019,227,297,0,0
159.119,228,296,0,0
159.219,239,309,0,0
159.319,251,294,0,0
159.419,261,288,0,0
159.519,258,294,0,0
159.619,251,286,0,0
159.719,240,274,0,0
159.852,234,259,0,0
159.952,233,267,0,0
160.052,241,289,0,0
160.152,256,286,0,0
160.252,262,256,0,0
160.352,270,271,0,0
160.452,276,282,0,0
160.552,285,287,0,0
160.652,287,286,0,0
160.752,282,279,0,0
160.852,279,278,0,0
160.952,282,275,0,0
161.052,288,270,0,0
161.152,286,265,0,0
161.252,274,240,0,0
161.352,263,220,0,0
163.885,443,243,0,0
166.652,418,282,0,0
166.752,436,270,0,0
166.852,442,264,0,0
166.952,449,261,0,0
167.052,448,262,0,0
167.152,447,266,0,0
167.252,452,271,0,0
167.352,449,272,0,0
167.452,450,272,0,0
167.552,451,272,0,0
167.652,450,270,0,0
167.752,438,271,0,0
168.019,444,272,0,0
168.119,450,268,0,0
168.219,456,266,0,0
168.319,471,262,0,0
168.419,483,261,0,0
168.519,484,260,0,0
168.619,484,258,0,0
168.719,480,257,0,0
168.819,487,253,0,0
168.919,477,251,0,0
169.019,468,248,0,0
169.119,449,251,0,0
169.219,445,255,0,0
169.319,462,255,0,0
169.419,469,253,0,0
169.519,471,250,0,0
169.619,471,249,0,0
169.719,473,252,0,0
169.819,479,252,0,0
169.919,485,253,0,0
170.019,486,254,0,0
170.119,493,249,0,0
170.219,492,249,0,0
170.319,482,248,0,0
170.419,482,252,0,0
170.519,482,253,0,0
170.619,492,257,0,0
170.752,506,264,0,0
170.852,501,267,0,0
170.952,488,278,0,0
171.052,486,282,0,0
171.152,485,284,0,0
