 , C0, C1, C2, C3, C4, C5, C6,,segment,Time (s),Frame,A (time),A (frame)
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted,,0,0,0,0.99922,20
0,0,0,0,0,0,0,0,,1,660.644,12010,661.493337,12027
0.049961,0,0,0,0,0,0,0.005777335,,2,1691.804,30025,1692.453493,30038
0.099922,0,0.006746128,-9.31E-10,0,0,0,0.007624181,,,,,,
0.149883,1.49E-08,0.006451409,-9.31E-10,0.02153903,0,0.002911877,0.008566042,,,,,,
0.199844,0.008032337,0.01042726,-1.86E-09,0.02057984,0,0.002738472,0.007761899,,,,,,
0.249805,0.00767678,0.009971719,-1.86E-09,0.01966336,0,0.007001434,0.007033246,,,,,,
0.299766,0.01091178,0.009536088,-1.86E-09,0.02469207,0,0.00658449,0.006372993,,,,,,
0.349727,0.01373369,0.009119485,-1.86E-09,0.04859436,0,0.006192375,0.01141719,,,,,,
0.399688,0.0145703,0.008721083,-1.86E-09,0.06199178,0,0.00582361,0.01528824,,,,,,
0.449649,0.02026422,0.008340087,-1.86E-09,0.05923112,0,0.005476808,0.01678632,,,,,,
0.49961,0.02624527,0.007975731,-9.31E-10,0.07471442,0,0.005150656,0.01546331,,,,,,
0.549571,0.0250835,0.007627293,-1.86E-09,0.07802163,0,0.004843927,0.0155903,,,,,,
0.599532,0.03119738,0.007294085,-1.86E-09,0.08887535,0,0.004555466,0.01582326,,,,,,
0.649493,0.03499839,0.01312462,-1.40E-09,0.0849175,0,0.01100619,0.01433784,,,,,,
0.699454,0.04201974,0.01255125,0.002922662,0.08651566,0,0.01035076,0.0172532,,,,,,
0.749415,0.04015972,0.01502563,0.002791787,0.08549529,0,0.009734355,0.01563354,,,,,,
0.799376,0.03838203,0.01550179,0.002666773,0.09436747,0,0.0101174,0.01725712,,,,,,
0.849337,0.04561931,0.01698264,0.002547356,0.0961569,0,0.009514895,0.01563709,,,,,,
0.899298,0.04938228,0.01980861,0.002433288,0.1129407,0,0.00894827,0.01713559,,,,,,
0.949259,0.05018797,0.02239223,0.002324326,0.1214116,0,0.01068469,0.02108599,,,,,,
0.99922,0.04796638,0.02372699,0.002220245,0.1558199,0,0.0100484,0.01910652,,,,,,
1.049181,0.04584312,0.02892612,0.004550727,0.1645216,0,0.009450008,0.01731288,,,,,,
1.099142,0.0547151,0.02766242,0.004346948,0.1866432,0,0.008887248,0.01988487,,,,,,
1.149103,0.05463745,0.02645394,0.004152295,0.2035231,0,0.01151746,0.01909652,,,,,,
1.199064,0.05863375,0.02529825,0.003966358,0.215504,0,0.01083158,0.02115581,,,,,,
1.249025,0.06046722,0.02419304,0.003788746,0.2182347,0,0.01018654,0.01916979,,,,,,
1.298986,0.06316045,0.02313613,0.003619089,0.2400202,0,0.01464115,0.02562754,,,,,,
1.348947,0.06036462,0.02212538,0.003457028,0.2430365,0,0.01590782,0.02322173,,,,,,
1.398908,0.05769255,0.02115879,0.003302225,0.2389298,0,0.01496049,0.02476367,,,,,,
1.448869,0.05889138,0.02023443,0.005286748,0.2296524,0,0.01460363,0.02243896,,,,,,
1.49883,0.06787798,0.01935045,0.00505001,0.2194254,0,0.01373397,0.02158531,,,,,,
1.548791,0.06487334,0.02980129,0.004823875,0.2234774,0,0.01291609,0.01955897,,,,,,
1.598752,0.06555398,0.03724065,0.004607865,0.2185584,0,0.01536052,0.0186181,,,,,,
1.648713,0.06620365,0.03561372,0.004401527,0.2256643,0,0.01444578,0.02025402,,,,,,
1.698674,0.06555791,0.03650076,0.00420443,0.2267489,0,0.01657602,0.02105253,,,,,,
1.748635,0.06989044,0.04493072,0.009193509,0.2248828,0,0.0155889,0.01907621,,,,,,
1.798596,0.08455732,0.06066738,0.00878183,0.2205937,0,0.01776805,0.01728541,,,,,,
1.848557,0.1105613,0.08174432,0.008388584,0.221724,0,0.01945974,0.01566273,,,,,,
1.898518,0.1540575,0.07817316,0.008012949,0.2182664,0,0.0200661,0.01419238,,,,,,
1.948479,0.1702048,0.07550852,0.007654135,0.2160659,0,0.02065524,0.01693529,,,,,,
1.99844,0.1695131,0.07997721,0.007311388,0.216838,0,0.01942519,0.01805274,,,,,,
2.048401,0.1720172,0.07648325,0.006983988,0.2087487,0,0.01984655,0.01635803,,,,,,
2.098362,0.1973569,0.08317941,0.00667125,0.2069427,0,0.01866466,0.01582093,,,,,,
2.148323,0.231876,0.0879599,0.006372516,0.2147777,0,0.02627826,0.01433573,,,,,,
2.198284,0.2740048,0.1042718,0.006087158,0.2151352,0,0.02471336,0.01683268,,,,,,
2.248245,0.3083648,0.1179903,0.005814579,0.2164007,0,0.02324164,0.0152525,,,,,,
2.298206,0.3252139,0.1204872,0.005554207,0.2120219,0,0.02485868,0.01382065,,,,,,
2.348167,0.3148644,0.1152235,0.005305492,0.2160814,0,0.02337831,0.01252323,,,,,,
2.398128,0.3038122,0.1101897,0.008441444,0.2121541,0,0.0219861,0.01569739,,,,,,
2.448089,0.2903638,0.1053759,0.008063441,0.2027064,0,0.0206768,0.01678801,,,,,,
2.49805,0.2775107,0.1050118,0.007702365,0.2109586,0,0.01944547,0.01625581,,,,,,
2.548011,0.27337,0.1133131,0.007357458,0.2121017,0,0.01828747,0.01611746,,,,,,
2.597972,0.2612691,0.1083628,0.007027995,0.2104156,0,0.01719842,0.01460442,,,,,,
2.647933,0.2497039,0.1036288,0.008756324,0.2010453,0,0.01623322,0.01650266,,,,,,
2.697894,0.2506777,0.09910154,0.008364221,0.2209321,0,0.01526651,0.01495345,,,,,,
2.747855,0.2515584,0.09878749,0.01062714,0.217965,0,0.01435737,0.01354969,,,,,,
2.797816,0.2428641,0.09447177,0.01825658,0.2082585,0,0.01350237,0.0122777,,,,,,
2.847777,0.249617,0.0903446,0.01743906,0.2065508,0,0.01269829,0.01112512,,,,,,
2.897738,0.2398662,0.08639773,0.01665815,0.210524,0,0.01194209,0.01008074,,,,,,
2.947699,0.2379542,0.08262328,0.01591221,0.2082666,0,0.01123092,0.01313019,,,,,,
2.99766,0.2337253,0.08113485,0.01519967,0.2098727,0,0.0105621,0.01189758,,,,,,
3.047621,0.233419,0.08326388,0.01451904,0.2174572,0,0.009933118,0.01078069,,,,,,
3.097582,0.2230866,0.08217593,0.01386889,0.2156129,0,0.02036318,0.00976864,,,,,,
3.147543,0.2419141,0.07858592,0.01324785,0.207434,0,0.01915052,0.0088516,,,,,,
3.197504,0.2332443,0.07674453,0.01265461,0.1981965,0,0.01801009,0.008020648,,,,,,
3.247465,0.2229196,0.07531411,0.01208795,0.1991771,0,0.01693756,0.01584748,,,,,,
3.297426,0.2175659,0.08378058,0.01154666,0.2000781,0,0.01592891,0.01435979,,,,,,
3.347387,0.2193209,0.08316014,0.01102961,0.2140917,0,0.01498032,0.01301175,,,,,,
3.397348,0.2141923,0.07952713,0.01053571,0.2157473,0,0.01408822,0.01179026,,,,,,
3.447309,0.2154014,0.07605284,0.01006393,0.2061395,0,0.01324925,0.01870926,,,,,,
3.49727,0.2226435,0.07843161,0.009613269,0.2092276,0,0.01246024,0.01695292,,,,,,
3.547231,0.2349341,0.07500519,0.009182793,0.2105473,0,0.01171822,0.01536145,,,,,,
3.597192,0.2375478,0.07309314,0.008771593,0.2011711,0,0.01102038,0.01391938,,,,,,
3.647153,0.2270326,0.07054459,0.008378807,0.1922124,0,0.01036411,0.01261268,,,,,,
3.697114,0.2261636,0.08162137,0.008003608,0.2009466,0,0.00974691,0.01142866,,,,,,
3.747075,0.2248358,0.07918324,0.007645212,0.2133881,0,0.009166469,0.01143798,,,,,,
3.797036,0.2182265,0.07572396,0.007302864,0.2153484,0,0.008620595,0.01244306,,,,,,
3.846997,0.2159933,0.07241581,0.006975847,0.211157,0,0.008107226,0.01127496,,,,,,
3.896958,0.2187337,0.07531155,0.006663473,0.216241,0,0.008275429,0.01732014,,,,,,
3.946919,0.2116912,0.07202142,0.006365087,0.224038,0,0.007782617,0.0156942,,,,,,
3.99688,0.2023206,0.07444765,0.006080063,0.2328232,0,0.01523115,0.01532459,,,,,,
4.046841,0.2007603,0.07119526,0.005807801,0.222455,0,0.01432411,0.01548754,,,,,,
4.096802,0.2005803,0.06808496,0.005547732,0.2243506,0,0.01347109,0.01403364,,,,,,
4.146763,0.2022903,0.06703556,0.005299308,0.2233402,0,0.01307186,0.02038736,,,,,,
4.196724,0.1933358,0.06772318,0.005062008,0.234506,0,0.01368123,0.01847347,,,,,,
4.246685,0.1914256,0.06476457,0.004835335,0.2240628,0,0.01286649,0.01673926,,,,,,
4.296646,0.1890444,0.06193521,0.004618811,0.2255096,0,0.01210028,0.01516785,,,,,,
4.346607,0.1919736,0.05922945,0.004411984,0.2324731,0,0.01203594,0.01374395,,,,,,
4.396568,0.1881158,0.0566419,0.004214418,0.2366825,0,0.01131919,0.0194332,,,,,,
4.446529,0.1871976,0.0541674,0.004025699,0.2261424,0,0.01064512,0.01760889,,,,,,
4.49649,0.1934626,0.05600612,0.003845431,0.2305665,0,0.01001119,0.01595584,,,,,,
4.546451,0.1848988,0.05666982,0.003673235,0.2202988,0,0.01267012,0.01445797,,,,,,
4.596412,0.183463,0.05481143,0.00350875,0.212437,0,0.0119156,0.01310072,,,,,,
4.646373,0.1896558,0.05614697,0.008240628,0.2141198,0,0.01120601,0.01472279,,,,,,
4.696334,0.1851599,0.05369408,0.007871618,0.2092337,0,0.01053868,0.01334068,,,,,,
4.746295,0.1769637,0.05134836,0.01061183,0.2028774,0,0.009911088,0.01208831,,,,,,
4.796256,0.1720631,0.04910511,0.01013664,0.1938428,0,0.009320871,0.01095351,,,,,,
4.846217,0.1856722,0.04695986,0.01841341,0.2033655,0,0.008765801,0.00992524,,,,,,
