Time (s), Cell Name, Value
1.798596, C04, 0.01776062
1.848557, C04, 0.02974694
1.898518, C04, 0.04839028
1.948479, C04, 0.02296668
2.098362, C04, 0.03295414
2.148323, C04, 0.04325521
2.198284, C04, 0.05239289
2.248245, C04, 0.04648894
2.298206, C04, 0.03049904
2.847777, C04, 0.01750335
3.147543, C04, 0.0287025
3.49727, C04, 0.01677693
3.547231, C04, 0.02214602
4.846217, C04, 0.02122554
4.9961, C04, 0.02130607
6.095242, C04, 0.0176387
6.99454, C04, 0.02578658
7.044501, C04, 0.03266098
7.094462, C04, 0.02988333
7.144423, C04, 0.01666348
7.344267, C04, 0.01740013
7.793916, C04, 0.01943025
7.843877, C04, 0.0202686
7.893838, C04, 0.03174517
8.343487, C04, 0.02678142
8.943019, C04, 0.02681074
8.992979999999999, C04, 0.0240697
9.042941000000001, C04, 0.0338838
9.092902, C04, 0.03888579
9.792356, C04, 0.01814945
20.334127, C04, 0.01611622
22.032801, C04, 0.02089148
22.532411, C04, 0.02942304
22.582372, C04, 0.03124353
22.632333, C04, 0.02758897
22.682294, C04, 0.04548916
22.732255, C04, 0.02732621
22.782216, C04, 0.03818527
22.832177, C04, 0.03505374
22.882138, C04, 0.04289767
22.932099, C04, 0.02737489
25.230305, C04, 0.01623056
25.430149, C04, 0.01606444
27.528511, C04, 0.01677689
27.678394, C04, 0.0339004
27.728355, C04, 0.03074528
27.778316, C04, 0.0296091
27.828277, C04, 0.05101378
27.878238, C04, 0.03731181
27.928199, C04, 0.0502131
27.97816, C04, 0.05915013
28.028121, C04, 0.03891492
28.078082, C04, 0.06780139
28.128043, C04, 0.051038
28.178004, C04, 0.03851774
28.227965, C04, 0.05701447
28.277926, C04, 0.04403093
28.327887, C04, 0.03969306
28.377848, C04, 0.02397364
28.427809, C04, 0.02632052
28.47777, C04, 0.01562375
28.577692, C04, 0.02207804
28.677614, C04, 0.01735294
28.727575, C04, 0.02019376
28.827497, C04, 0.01965666
28.877458, C04, 0.02433935
29.227185, C04, 0.01778644
29.277146, C04, 0.01610315
29.327107, C04, 0.0269261
29.427029, C04, 0.01603505
29.526951, C04, 0.01620927
29.576912, C04, 0.02118462
29.726795, C04, 0.01778474
29.876678, C04, 0.01812887
30.126483, C04, 0.01595557
30.176444, C04, 0.02179182
30.376288, C04, 0.01619223
30.576132, C04, 0.02260956
30.676054, C04, 0.02388126
30.726015, C04, 0.01882875
30.775976, C04, 0.0156821
31.075742, C04, 0.01568988
31.325547, C04, 0.01572296
31.525391, C04, 0.02353385
31.725235, C04, 0.0186767
31.825157, C04, 0.02088532
32.224845, C04, 0.01715495
32.97426, C04, 0.01887368
33.323987, C04, 0.02219261
34.123363, C04, 0.0316124
34.173324, C04, 0.04686965
34.223285, C04, 0.06606217
34.273246, C04, 0.06646311
34.323207, C04, 0.06988007
34.373168, C04, 0.04854283
34.423129, C04, 0.06229696
34.47309, C04, 0.06128404
34.523051, C04, 0.07368031
34.573012, C04, 0.06111604
34.622973, C04, 0.06365812
34.672934, C04, 0.06670797
34.722895, C04, 0.06972599
34.772856, C04, 0.06055468
34.822817, C04, 0.104235
34.872778, C04, 0.07012737
34.922739, C04, 0.0683282
34.9727, C04, 0.04778689
35.022661, C04, 0.07571429
35.072622, C04, 0.0674451
35.122583, C04, 0.05255216
35.172544, C04, 0.02953893
35.222505, C04, 0.04351592
35.272466, C04, 0.02375972
35.322427, C04, 0.03365546
35.372388, C04, 0.04217595
35.422349, C04, 0.02516305
35.47231, C04, 0.02520478
35.522271, C04, 0.02146405
35.572232, C04, 0.0353967
35.622193, C04, 0.02721959
35.722115, C04, 0.02564126
35.772076, C04, 0.03217208
35.822037, C04, 0.02315032
35.871998, C04, 0.02585816
35.921959, C04, 0.0417583
35.97192, C04, 0.02861524
36.021881, C04, 0.02762246
36.071842, C04, 0.0215103
36.121803, C04, 0.02737677
36.171764, C04, 0.02565432
36.221725, C04, 0.01995164
36.271686, C04, 0.03345948
36.321647, C04, 0.01906115
36.371608, C04, 0.02109331
36.421569, C04, 0.03798097
36.47153, C04, 0.03409344
36.571452, C04, 0.04255193
36.621413, C04, 0.03016925
36.721335, C04, 0.03163916
36.771296, C04, 0.03207064
36.821257, C04, 0.02851164
36.921179, C04, 0.02143329
36.97114, C04, 0.03279358
37.021101, C04, 0.01977742
37.121023, C04, 0.03066087
37.170984, C04, 0.0349595
37.220945, C04, 0.01695013
37.270906, C04, 0.02370596
37.320867, C04, 0.02493912
37.370828, C04, 0.01790446
37.420789, C04, 0.03151608
37.47075, C04, 0.01937115
37.520711, C04, 0.01770282
37.570672, C04, 0.01879233
37.620633, C04, 0.02052444
37.720555, C04, 0.02782452
37.770516, C04, 0.02243006
37.870438, C04, 0.01866853
37.920399, C04, 0.02933896
38.020321, C04, 0.02517354
38.170204, C04, 0.03152841
38.270126, C04, 0.02055752
38.320087, C04, 0.02076522
38.46997, C04, 0.0271239
38.519931, C04, 0.01724249
38.569892, C04, 0.02127263
38.619853, C04, 0.02029014
38.719775, C04, 0.01877093
38.769736, C04, 0.02206177
38.819697, C04, 0.01784915
38.869658, C04, 0.01787463
38.96958, C04, 0.02658021
39.019541, C04, 0.02005482
39.119463, C04, 0.02741778
39.169424, C04, 0.01743934
39.319307, C04, 0.02168217
39.519151, C04, 0.01773015
39.619073, C04, 0.02272129
39.768956, C04, 0.01580071
39.818917, C04, 0.01867241
39.868878, C04, 0.01726139
39.9688, C04, 0.01965889
40.068722, C04, 0.03027058
40.168644, C04, 0.01787269
40.268566, C04, 0.02149808
40.518371, C04, 0.02693418
40.718215, C04, 0.0209513
40.918059, C04, 0.02365986
41.017981, C04, 0.01806733
41.117903, C04, 0.02675238
41.167864, C04, 0.04939568
41.217825, C04, 0.03848389
41.267786, C04, 0.03077856
41.317747, C04, 0.01827332
41.417669, C04, 0.0301002
41.46763, C04, 0.0174005
41.667474, C04, 0.02145508
41.717435, C04, 0.0370903
41.767396, C04, 0.04051411
41.817357, C04, 0.04388985
41.867318, C04, 0.04521179
41.917279, C04, 0.04965362
41.96724, C04, 0.03893843
42.017201, C04, 0.06360644
42.067162, C04, 0.08177781
42.117123, C04, 0.06424403
42.167084, C04, 0.07650405
42.217045, C04, 0.07189471
42.267006, C04, 0.06094462
42.316967, C04, 0.05387336
