Time (s), Cell Name, Value
0.599532, C00, 0.04966864
0.649493, C00, 0.05869931
0.699454, C00, 0.05350778
0.7494150000000001, C00, 0.03550455
0.799376, C00, 0.06066033
0.849337, C00, 0.05158773
0.899298, C00, 0.04993072
0.949259, C00, 0.05274326
0.99922, C00, 0.05714598
1.049181, C00, 0.06191856
1.099142, C00, 0.05982023
1.149103, C00, 0.05821365
1.199064, C00, 0.05994785
1.249025, C00, 0.06216139
1.298986, C00, 0.0661633
1.348947, C00, 0.0597856
1.398908, C00, 0.06278276
1.448869, C00, 0.04046047
1.49883, C00, 0.06045681
1.548791, C00, 0.05124795
1.598752, C00, 0.05154985
1.648713, C00, 0.05639654
1.698674, C00, 0.05673921
1.748635, C00, 0.06131917
1.798596, C00, 0.04893035
1.848557, C00, 0.03296947
1.898518, C00, 0.03808373
1.948479, C00, 0.01567584
1.99844, C00, 0.02654094
2.098362, C00, 0.02973211
2.198284, C00, 0.03099912
2.248245, C00, 0.02619833
2.298206, C00, 0.03253871
2.348167, C00, 0.01423877
2.398128, C00, 0.0361436
2.448089, C00, 0.03186923
2.49805, C00, 0.02708232
2.548011, C00, 0.03309417
2.597972, C00, 0.03411072
2.697894, C00, 0.0171302
2.747855, C00, 0.03891778
2.897738, C00, 0.01738095
2.947699, C00, 0.02936381
2.99766, C00, 0.02464712
3.047621, C00, 0.02501321
3.097582, C00, 0.02529758
3.197504, C00, 0.01600027
3.297426, C00, 0.01474118
3.347387, C00, 0.01605839
3.397348, C00, 0.022811
3.447309, C00, 0.01290458
3.49727, C00, 0.01664263
3.597192, C00, 0.02201748
3.647153, C00, 0.07339025
3.697114, C00, 0.05487651
3.747075, C00, 0.06013
3.797036, C00, 0.09565794
3.846997, C00, 0.04871023
3.896958, C00, 0.06660962
3.946919, C00, 0.06813449
3.99688, C00, 0.08730018
4.046841, C00, 0.06699711
4.096802, C00, 0.05579817
4.146763, C00, 0.06409311
4.196724, C00, 0.04735547
4.246685, C00, 0.0433678
4.296646, C00, 0.06134665
4.346607, C00, 0.02895939
4.396568, C00, 0.03841668
4.446529, C00, 0.03509122
4.49649, C00, 0.03205162
4.546451, C00, 0.01644546
4.596412, C00, 0.02313185
4.646373, C00, 0.04326111
4.696334, C00, 0.04340631
4.746295, C00, 0.05198467
4.796256, C00, 0.03735399
4.896178, C00, 0.03092486
4.946139, C00, 0.05027866
4.9961, C00, 0.03590578
5.046061, C00, 0.01656622
5.096022, C00, 0.02975214
5.145983, C00, 0.01887167
5.195944, C00, 0.0422228
5.245905, C00, 0.04006797
5.395788, C00, 0.01795197
5.445749, C00, 0.04880458
5.49571, C00, 0.0379585
5.645593, C00, 0.02990431
5.695554, C00, 0.03887004
5.745515, C00, 0.0205555
5.845437, C00, 0.01384658
5.895398, C00, 0.02542162
5.99532, C00, 0.01596087
6.045281, C00, 0.03197503
6.145203, C00, 0.01970387
6.195164, C00, 0.04050326
6.245125, C00, 0.02308619
6.295086, C00, 0.01561856
6.345047, C00, 0.02438587
6.395008, C00, 0.02305228
6.544891, C00, 0.02085334
6.594852, C00, 0.03300637
6.694774, C00, 0.01796871
6.744735, C00, 0.0217413
6.794696, C00, 0.01523638
6.894618, C00, 0.0273957
7.044501, C00, 0.02611482
7.094462, C00, 0.02002722
7.144423, C00, 0.01608559
7.294306, C00, 0.01650909
7.394228, C00, 0.01475003
7.49415, C00, 0.01476184
7.644033, C00, 0.01738021
7.843877, C00, 0.03369448
7.943799, C00, 0.02999133
8.143643000000001, C00, 0.02385756
8.393447999999999, C00, 0.01354244
8.543331, C00, 0.01504087
8.693213999999999, C00, 0.01468757
8.843097, C00, 0.01299641
9.142863, C00, 0.01276137
9.742395, C00, 0.01331657
10.042161, C00, 0.01423614
12.49025, C00, 0.01494888
16.337247, C00, 0.02590798
16.387208, C00, 0.03393973
16.437169, C00, 0.03253071
16.48713, C00, 0.02910542
16.537091, C00, 0.02934138
16.587052, C00, 0.03047244
16.637013, C00, 0.03765857
16.686974, C00, 0.02820429
16.736935, C00, 0.02666186
16.786896, C00, 0.03966795
16.836857, C00, 0.03463587
16.886818, C00, 0.04660192
16.936779, C00, 0.03613535
16.98674, C00, 0.04012847
17.036701, C00, 0.04492503
17.286506, C00, 0.01943085
17.386428, C00, 0.01884049
17.636233, C00, 0.01988655
18.035921, C00, 0.01431535
18.335687, C00, 0.01441306
19.9844, C00, 0.04795247
20.034361, C00, 0.04543465
20.084322, C00, 0.02074368
20.434049, C00, 0.02424951
20.48401, C00, 0.04288684
20.533971, C00, 0.04977538
20.583932, C00, 0.05333973
20.633893, C00, 0.04449555
20.683854, C00, 0.05570987
20.733815, C00, 0.03626287
20.783776, C00, 0.06161842
20.833737, C00, 0.04811698
20.883698, C00, 0.04197106
21.033581, C00, 0.01793092
21.183464, C00, 0.01279691
21.333347, C00, 0.01603311
21.48323, C00, 0.01563537
21.583152, C00, 0.02170524
21.782996, C00, 0.01752046
21.932879, C00, 0.01887244
22.082762, C00, 0.01335487
22.182684, C00, 0.01713932
22.782216, C00, 0.01494771
22.882138, C00, 0.01286198
23.431709, C00, 0.01324333
24.031241, C00, 0.01584375
34.523051, C00, 0.01780439
34.573012, C00, 0.01902435
34.622973, C00, 0.020883
34.672934, C00, 0.01539746
34.722895, C00, 0.02210333
34.772856, C00, 0.02387661
37.47075, C00, 0.02653282
37.520711, C00, 0.01777677
37.570672, C00, 0.0290471
37.620633, C00, 0.02031472
37.670594, C00, 0.03441904
37.720555, C00, 0.01961714
37.820477, C00, 0.01363929
37.870438, C00, 0.02979541
37.920399, C00, 0.026342
37.97036, C00, 0.0450063
38.020321, C00, 0.0214635
39.219385, C00, 0.01356729
40.118683, C00, 0.01792638
40.168644, C00, 0.03734962
40.218605, C00, 0.03190456
40.268566, C00, 0.04407658
40.318527, C00, 0.03270416
40.368488, C00, 0.0402009
40.418449, C00, 0.0385329
40.46841, C00, 0.02862328
40.518371, C00, 0.03256658
40.568332, C00, 0.05089152
40.618293, C00, 0.04147124
40.668254, C00, 0.04092982
40.718215, C00, 0.04375938
40.768176, C00, 0.04812926
40.818137, C00, 0.03061864
40.868098, C00, 0.03609747
40.918059, C00, 0.01553032
41.067942, C00, 0.02802083
41.417669, C00, 0.02015081
41.617513, C00, 0.013273
42.167084, C00, 0.01286706
42.766616, C00, 0.01389383
64.24984600000001, C00, 0.01382847
64.299807, C00, 0.01350718
64.349768, C00, 0.02247337
64.39972899999999, C00, 0.01398264
64.44969, C00, 0.01708307
64.499651, C00, 0.02108862
64.549612, C00, 0.02141659
